"Địa phương","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"     Thái Bình",171054,68816,72309,29929,157692,61606,62190,33896,166357,68333,62350,35674,148140,58772,55040,34328,141096,56410,50509,34177,138884,58854,46425,33605,139481,60643,48047,30791,135380,57470,48057,29853,136306,58441,46833,31032,133136,60060,46006,27070,135894,60301,46793,28800,135606,62253,45163,28190,134581,62755,44743,27083,137983,63861,46213,27909,143472,68174,47387,27911,144435,67850,48035,28550
"     Hà Nam",79316,32071,33651,13594,77638,30225,31922,15491,73259,28918,29529,14812,72812,27772,27576,17464,68864,26854,25635,16375,67279,27572,24276,15431,65684,27707,22638,15339,64903,27863,21984,15056,64097,27983,21339,14775,64071,28873,21206,13992,63936,29100,21685,13151,64438,30074,21468,12896,65019,30400,21641,12978,66686,31587,22148,12951,69951,34277,22517,13157,72138,35745,23305,13088
"     Nam Định",189202,80142,80428,28632,182350,74451,75232,32667,178661,73944,71237,33480,169907,68092,66505,35310,164661,66467,62054,36140,160289,65755,58936,35598,155455,65405,54343,35707,153508,63584,53314,36610,149252,64600,51881,32771,148151,65976,50830,31345,147277,66923,50993,29361,147473,68951,49833,28689,147545,70213,49667,27665,149168,71137,50479,27552,154549,75527,50959,28063,157785,76279,52991,28515
"     Ninh Bình",95509,35192,42180,18137,90087,32450,38448,19189,86541,31870,34601,20070,82095,29517,32038,20540,74469,29151,26593,18725,73739,30072,25622,18045,71371,30268,23702,17401,66949,28969,22356,15624,69133,31622,22748,14763,69991,33002,23076,13913,69617,32735,23797,13085,71301,34195,23534,13572,72476,34462,24241,13773,74548,35650,25058,13840,79082,39580,25755,13747,81524,40980,26461,14083
"Trung du và miền núi phía Bắc",1127083,510387,435071,181625,1113166,486761,424055,202350,1078909,461920,410395,206594,1026969,446976,380919,199074,978416,440164,351780,186472,961884,444059,338257,179568,961651,460248,320028,181375,1003052,512875,312528,177649,950677,470958,315415,164304,975583,494144,318689,162750,984552,496519,329957,158076,1017021,519234,337316,160471,1044283,537406,344650,162227,1076968,555321,355658,165989,1125068,588696,367087,169285,1163156,608440,379790,174926
"     Hà Giang",68476,41079,19728,7669,71767,41075,22815,7877,68422,37589,22715,8118,66465,35795,22555,8115,65570,35306,21952,8312,65420,35314,21855,8251,65477,35850,21508,8119,118675,89483,21138,8054,67481,37971,21764,7746,72595,42797,21974,7824,67614,37884,22093,7637,72063,41889,22742,7432,74100,43612,23253,7235,76337,44873,23942,7522,78636,46561,24594,7481,81646,47882,26025,7739
"     Cao Bằng",58357,25544,22196,10617,56531,23695,20893,11943,52645,22130,19474,11041,50143,21469,16853,11821,49604,21085,16555,11964,46213,20932,15348,9933,44297,20813,14416,9068,43278,20745,14136,8397,42257,20514,13746,7997,42412,21271,13551,7590,41798,21137,13587,7074,41994,21192,14014,6788,42122,21519,13937,6666,42841,21791,14374,6676,44275,22831,14635,6809,45102,23703,14598,6801
"     Bắc Kạn",34209,14272,12908,7029,32143,12912,12019,7212,29230,11650,11586,5994,28656,11569,11510,5577,26163,11116,9992,5055,25502,10597,9050,5855,24791,10990,8192,5609,23992,10985,7723,5284,23511,10964,7770,4777,23345,11303,7635,4407,23452,11330,7908,4214,23933,11598,8158,4177,24329,12143,8084,4102,24898,12553,8325,4020,26166,13671,8560,3935,27060,14332,8665,4063
"     Tuyên Quang",84457,32535,34168,17754,82390,30069,32095,20226,77813,28114,29614,20085,71305,27576,26605,17124,66045,27087,23391,15567,64174,27362,22117,14695,62653,27497,20992,14164,59419,25818,20174,13427,62192,29201,20354,12637,61963,29415,20485,12063,62498,29600,21294,11604,65620,32021,21798,11801,67333,33581,21767,11985,69516,35025,22398,12093,73069,37547,22845,12677,74536,37951,23791,12794
"     Lào Cai",65603,34118,24714,6771,64877,31861,24929,8087,64492,30854,24616,9022,62124,30103,23240,8781,59406,28997,22103,8306,57724,28631,21332,7761,60463,31901,20484,8078,60155,30989,20780,8386,59901,31318,20380,8203,61964,33131,20669,8164,62788,33544,21166,8078,65310,35233,21809,8268,67119,35957,22532,8630,69325,36656,23654,9015,71383,38005,24324,9054,74196,39070,25569,9557
