"Địa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Bình Định",357177,186347,126769,44061,357071,173440,135681,47950,354849,158052,143101,53696,345921,145941,142570,57410,338563,138173,137177,63213,331088,132053,129628,69407,321991,126274,120924,74793,312206,124688,112057,75461,303280,125353,104364,73563,294637,122878,100709,71050,287340,122763,97037,67540,280286,124142,95027,61117,274530,123943,94762,55825,270992,124805,93423,52764,265825,119614,92653,53558,266631,120003,93943,52685,270155,123403,94580,52172,269091,121423,94836,52832
"Phú Yên",195933,98805,71034,26094,196207,95246,72652,28309,182845,85495,69915,27435,188804,83471,73108,32225,185673,81772,70107,33794,179701,80872,65856,32973,175710,78639,64185,32886,170913,79536,59279,32098,167591,79191,57156,31244,178200,80161,63403,34636,166359,76678,58001,31680,166390,76274,59019,31097,165056,74513,59180,31363,164212,74589,58290,31333,159810,70884,57298,31628,159573,71507,57079,30987,161903,74690,56218,30995,163449,76350,55504,31595
"Khánh  Hòa",241264,128659,84598,28007,242455,122955,89267,30233,239601,113657,93167,32777,236686,107250,92970,36466,231868,103029,91583,37256,224085,99862,85655,38568,217206,97535,80436,39235,215792,101272,75137,39383,213027,102048,71845,39134,211593,101184,72236,38173,209241,101146,71661,36434,210998,101594,73789,35615,211506,100656,75679,35171,211688,101552,74872,35264,209106,97368,75536,36202,211034,98721,76088,36225,215083,103512,75330,36241,217757,105380,75603,36774
"Ninh  Thuận",126444,75367,39008,12069,127696,71758,42445,13493,127182,67610,45540,14032,126138,64146,45650,16342,124957,61002,46105,17850,120029,58789,42625,18615,117083,57103,41181,18799,113189,57355,38260,17574,113108,57579,36575,18954,113369,57166,37084,19119,113082,56905,36389,19788,110981,56852,36650,17479,110209,56470,37242,16497,109987,56556,37091,16340,108485,55041,37272,16172,109503,55611,37514,16378,109366,57997,34942,16427,112949,59278,37097,16574
"Bình Thuận",273998,156941,87968,29089,277891,150334,95642,31915,276910,139610,101315,35985,270679,128187,101764,40728,263271,119310,101691,42270,252213,113571,95660,42982,244691,109348,90889,44454,239344,109631,84870,44843,234097,110160,79236,44701,232208,109677,78098,44433,230259,109862,76732,43665,227028,111456,76498,39074,223701,111499,76465,35737,222300,112737,75474,34089,219451,109946,75791,33714,221651,111050,77214,33387,227845,116574,77559,33712,232148,118162,78653,35333
"Tây Nguyên",1167217,670546,376454,120217,1201636,657896,401909,141831,1214611,637276,418619,158716,1202873,616412,411546,174915,1210048,593203,428356,188489,1196782,579175,424670,192937,1169090,564608,413309,191173,1146493,563863,396463,186167,1136644,558534,386861,191249,1142124,558640,390447,193037,1132421,558195,381890,192336,1136641,569491,381848,185302,1135137,576689,380681,177767,1139269,588518,373065,177686,1133748,582060,373567,178121,1148142,592671,378814,176657,1174189,614201,386319,173669,1193701,617094,398677,177930
"Kon Tum",98320,59963,29716,8641,101502,59724,31845,9933,98424,55574,31430,11420,102037,54263,35146,12628,101173,52823,35311,13039,99703,50879,36192,12632,98787,50107,35882,12798,97796,50680,34760,12356,99155,51609,34534,13012,101331,52130,35324,13877,102850,53451,35386,14013,103942,55079,35832,13031,106088,56425,36553,13110,107658,57707,36765,13186,108818,57813,37707,13298,112068,59512,38656,13900,114824,62073,39078,13673,117333,62916,40240,14177
"Gia Lai",264382,160344,79779,24259,269149,159247,83105,26797,273472,155397,86810,31265,276564,152549,88774,35241,278964,150033,93266,35665,277443,147738,92306,37399,275296,146312,90853,38131,275168,148493,88005,38670,279920,150965,87093,41862,286605,155564,89081,41960,290813,159382,89839,41592,295879,162473,93043,40363,297259,163488,94788,38983,298289,164676,94752,38861,296874,161706,96253,38915,300017,161950,98567,39500,306857,166252,99907,40698,312189,167624,102325,42240
"Đắk Lắk",536089,307226,173939,54924,558268,299705,190077,68486,467633,235457,168218,63958,462587,222079,165550,74958,459682,212415,166835,80432,442283,201291,161283,79709,420751,192037,152694,76020,405570,189570,145784,70216,393999,182481,139854,71664,390467,179102,139844,71521,376530,173130,131886,71514,372054,174997,128138,68919,364328,175576,124657,64095,362905,179182,119957,63766,356618,176027,117984,62607,360020,180461,118779,60780,365226,187666,119696,57864,371462,189348,123396,58718
"Đắk Nông",..,..,..,..,..,..,..,..,103155,59034,33497,10624,90552,60129,22873,7550,103364,54302,35602,13460,113525,58273,38844,16408,113555,58336,38465,16754,113711,58642,37212,17857,113752,58791,37663,17298,116543,59553,38830,18160,118215,60577,39283,18355,119632,62519,38934,18179,122467,64478,40023,17966,124700,66700,39693,18307,126098,66829,40307,18962,128625,68666,40852,19107,133442,71199,42970,19273,133244,68641,44525,20078
