"Địa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"CẢ NƯỚC",17699628,8815717,6429748,2454163,17505386,8345974,6569789,2589623,17122672,7744837,6616747,2761088,16649196,7304000,6371260,2973936,16256654,7029424,6152040,3075190,15685244,6860342,5803261,3021641,15127874,6731603,5468711,2927560,14912114,6907987,5163245,2840882,14792830,7043307,4945178,2804345,14781561,7100950,4926401,2754210,14747078,7202767,4869839,2674472,14900686,7435600,4932390,2532696,15082381,7543632,5098830,2439919,15353785,7790009,5138646,2425130,15514259,7801560,5235524,2477175,15923718,8041842,5373312,2508564,16558282,8541451,5456884,2559947,17042306,8741545,5646766,2653995
"Đồng bằng sông Hồng",3854343,1668289,1525283,660771,3770728,1585341,1509350,676037,3688941,1478452,1500195,710294,3576562,1404004,1408511,764047,3496988,1374854,1327543,794591,3381971,1343499,1256021,782451,3243224,1331379,1168276,743569,3191942,1372490,1104169,715283,3191548,1410018,1081304,700226,3159239,1431880,1053902,673457,3177250,1486557,1045492,645201,3234718,1579862,1041651,613205,3306614,1629525,1090022,587067,3399055,1716012,1106173,576870,3503148,1775283,1145867,581998,3648083,1860472,1195790,591821,3890002,2021081,1249866,619055,4049390,2083595,1315907,649888
"Hà Nội",503132,219925,180226,102981,497298,217863,179351,100084,495941,207224,185484,103233,491591,203259,180236,108096,495240,201992,176734,116514,495456,201359,174168,119929,981180,411202,345685,224293,982579,440843,325360,216376,1021634,469622,339170,212842,1027260,492604,321695,212961,1049503,520355,322676,206472,1090168,564383,330531,195254,1138326,587471,362453,188402,1181668,618745,382044,180879,1240038,641554,407550,190934,1302216,678739,426924,196553,1403900,738864,447906,217130,1475445,765571,474429,235445
"Hà Tây",544383,231368,210165,102850,535666,220645,207855,107166,525427,209452,204364,111611,511085,198956,192161,119968,494351,194278,181675,118398,475264,191459,172459,111346,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Vĩnh Phúc",256114,112442,101372,42300,252047,106120,100267,45660,245742,98420,100057,47265,234620,91684,94542,48394,225702,88231,88776,48695,217932,85993,83471,48468,176304,70906,64519,40879,172079,72599,60367,39113,169364,75452,56496,37416,169231,77981,55713,35537,170630,81949,54959,33722,173873,87769,54844,31260,178264,91919,57543,28802,183702,97061,58576,28065,191457,101268,62093,28096,200508,105801,66289,28418,216921,116240,71238,29443,226657,121686,74645,30326
"Bắc Ninh",229896,98905,88251,42740,226978,93905,88676,44397,223535,88255,88042,47238,217309,83657,82701,50951,213836,82702,78106,53028,206272,80949,73753,51570,196869,79662,69208,47999,192468,80841,66314,45313,190459,82071,63672,44716,188359,83016,63145,42198,188737,85338,62779,40620,191878,90195,62554,39129,195216,93143,64376,37697,200871,97871,64783,38217,205552,100728,66570,38254,215094,106948,68790,39356,227304,117093,71871,38340,240925,123948,75970,41007
"Quảng Ninh",229780,109881,83636,36263,226929,104595,85167,37167,225076,97489,86928,40659,221397,91395,85433,44569,220297,87251,83616,49430,212563,86008,79415,47140,203929,84585,73748,45596,201067,86355,70360,44352,202941,87675,66774,48492,196272,88094,66089,42089,196575,90404,65712,40459,201039,96673,65642,38724,200710,99592,64609,36509,212855,106914,68223,37718,218588,111362,69320,37906,227257,116355,72758,38144,239597,125182,75923,38492,249081,128264,81483,39334
"Hải Dương",356775,145128,150681,60966,345834,138638,145530,61666,333252,128695,140040,64517,318912,122809,127540,68563,309327,120479,118135,70713,299051,119154,110792,69105,285432,116639,103029,65764,279664,117058,99745,62861,272645,117645,95205,59795,267777,117105,94868,55804,269837,120447,95557,53833,268765,126259,90985,51521,274576,129867,93823,50886,281619,139346,92037,50236,288186,146165,92658,49363,300877,154747,96305,49825,318661,167636,100665,50360,328192,171984,105320,50888
"Hải Phòng",351211,149377,141438,60396,342310,140562,138289,63459,334119,128844,137457,67818,323403,120778,128668,73957,315403,117101,120310,77992,304992,114308,113162,77522,291855,112599,103509,75747,284851,116620,96281,71950,282245,120906,90806,70533,273312,121772,88365,63175,277786,128740,88700,60346,283115,138730,87509,56876,290109,145216,92154,52739,301220,154898,93709,52613,313035,163184,96969,52882,329299,172244,103643,53412,354282,187422,109311,57549,371658,192337,117497,61824
"Hưng Yên",241108,102308,101010,37790,235516,96125,99815,39576,231140,89157,98504,43479,222561,84637,89282,48642,215756,82482,81987,51287,205752,80664,76917,48171,191025,77602,69863,43560,184640,76924,66568,41148,179944,77757,63568,38619,178193,78361,62602,37230,177555,80503,59929,37123,179750,85985,59128,34637,182573,89151,60343,33079,186947,94706,59562,32679,192507,98298,61615,32594,200710,102801,64926,32983,215295,112497,69402,33396,224383,116912,74004,33467
"Thái Bình",349369,148210,144653,56506,341179,140973,141434,58772,332490,131555,138992,61943,325303,126696,128699,69908,320352,130415,120033,69904,305192,123153,112063,69976,293019,122632,103373,67014,287737,124697,98775,64265,281673,122513,96778,62382,278765,120164,98916,59685,276329,121739,97452,57138,276807,125264,95769,55774,277770,126072,97075,54623,278440,130130,93539,54771,277307,131301,93803,52203,283396,133594,96330,53472,297120,143636,100484,53000,298481,142771,101209,54501
"Hà Nam",171261,76002,70518,24741,167853,71010,71043,25800,162566,65818,69861,26887,156078,61843,64981,29254,150718,59614,60113,30991,145307,57918,56092,31297,137647,56723,51845,29079,133330,57001,48837,27492,129918,57056,45852,27010,128787,57113,44741,26933,127721,57455,44047,26219,127906,59402,43308,25196,128408,60179,44219,24010,129564,62317,43716,23531,131124,63609,44159,23356,134753,66108,45168,23477,141670,71717,46159,23794,146426,74714,47896,23816
"Nam Định",409010,184677,164098,60235,395343,173357,163488,58498,384416,160817,163307,60292,370307,151382,154427,64498,359444,146425,145382,67637,347751,140738,138085,68928,332189,137771,126086,68332,325994,137242,118782,69970,317669,136234,113928,67507,310993,132395,109527,69071,303223,134651,106138,62434,301753,137745,104147,59861,300566,139606,104534,56426,299135,143563,101371,54201,300000,146535,101395,52070,303828,149227,103183,51418,314710,158207,104384,52119,322125,159933,109221,52971
"Ninh Bình",212304,90066,89235,33003,203775,81548,88435,33792,195237,72726,87159,35352,183996,66908,79841,37247,176562,63884,72676,40002,166439,61796,65644,38999,153775,61058,57411,35306,147533,62310,52780,32443,143056,63087,49055,30914,140290,63275,48241,28774,139354,64976,47543,26835,139664,67457,47234,24973,140096,67309,48893,23894,143034,70461,48613,23960,145354,71279,49735,24340,150145,73908,51474,24763,160542,82587,52523,25432,166017,85475,54233,26309
"Trung du và miền núi phía Bắc",2516261,1281958,923103,311200,2489146,1201411,939630,348105,2433591,1113704,938721,381166,2349980,1033153,900345,416482,2271586,975386,871164,425036,2147695,946815,811535,389345,2042720,927397,753797,361526,2001910,933675,721608,346627,1981839,955733,682089,344017,1983035,970252,672899,339884,1985582,988270,668242,329070,2016828,1024806,672111,319911,2049080,1042096,696126,310858,2104439,1082655,709450,312334,2161856,1122387,724886,314583,2230206,1160871,747377,321958,2329321,1233678,769389,326254,2415856,1278918,796211,340727
"Hà Giang",151931,103303,36937,11691,148074,96174,38045,13855,149206,91406,42875,14925,150225,87127,47069,16029,147616,81530,49778,16308,142427,76742,49395,16290,139615,75230,48249,16136,139422,75090,48051,16281,139117,75725,47375,16017,141174,77258,47539,16377,143206,79302,47671,16233,146203,81600,47959,16644,148628,83790,48349,16489,152815,87306,49105,16404,156979,90676,50353,15950,161429,93385,52019,16025,165665,97074,52891,15700,172092,100111,55726,16255
"Cao Bằng",128052,68225,43802,16025,126285,62753,45302,18230,121651,55812,45772,20067,116998,50651,42961,23386,111172,47145,40211,23816,102492,45424,35385,21683,98576,44117,34057,20402,92065,43807,31287,16971,88482,42631,30277,15574,87800,43868,29785,14147,86557,43608,28507,14442,85766,43699,28263,13804,84502,43317,28259,12926,85131,43587,29069,12475,85383,44189,29019,12175,86982,44739,29837,12406,89710,46979,30097,12634,91665,48797,30097,12771
"Bắc Kạn",74464,35632,28399,10433,73381,33213,28402,11766,70516,30155,26932,13429,66292,27413,25341,13538,62195,24735,24428,13032,56770,23401,22136,11233,52597,22686,19593,10318,51063,22665,18308,10090,49876,22971,16911,9994,48683,23007,15903,9773,47818,22988,16041,8789,47616,23525,15925,8166,47882,23540,16422,7920,48863,23901,17002,7960,49818,24961,16968,7889,50899,25774,17349,7776,53248,27973,17768,7507,54917,29374,17956,7587
"Tuyên Quang",191343,83710,73014,34619,187394,74862,74109,38423,178177,67583,71718,38876,170167,62432,66947,40788,158138,57834,61490,38814,141287,57084,53536,30667,132596,56094,48403,28099,130118,56875,45879,27364,127533,58108,42857,26568,126842,58652,42184,26006,126082,59527,42018,24537,127559,61756,42068,23735,129471,62883,43879,22709,133495,66072,44593,22830,137696,69837,44882,22977,141803,72780,45947,23076,149925,78798,47044,24083,154854,81251,49232,24371
"Lào Cai",157959,95011,51922,11026,142503,77996,52941,11566,142042,71565,56558,13919,138714,66536,55528,16650,136591,64426,53423,18742,130345,62465,50149,17731,124746,60735,47935,16076,123121,61298,45997,15826,122713,62551,44074,16088,125685,64674,44228,16783,126736,66447,43637,16652,129740,69102,43875,16763,131674,69964,44900,16810,136629,73271,46341,17017,140534,75072,47888,17574,144975,76537,50046,18392,149433,79481,51347,18605,155547,81991,53821,19735
"Yên Bái",172807,89110,63180,20517,171922,83307,65666,22949,168595,76624,65194,26777,164535,70852,63385,30298,158575,65951,61432,31192,146114,63907,56751,25456,136908,63566,51409,21933,133357,64579,48255,20523,132061,66411,44781,20869,132992,67714,44531,20747,134091,69006,45285,19800,136269,70843,46495,18931,138711,71495,48853,18363,142419,73426,50425,18568,146011,75540,51706,18765,149904,77644,53015,19245,155399,81471,54239,19689,159922,84389,55264,20269
"Thái  Nguyên",232265,100866,97498,33901,223905,94519,93746,35640,215911,86972,90644,38295,206097,81679,83256,41162,198887,78056,79572,41259,190022,77744,72732,39546,181961,77249,66827,37885,184505,79552,66964,37989,179103,80902,61465,36736,181998,81440,62907,37651,176271,82347,59043,34881,180788,86368,60494,33926,183803,87304,63194,33305,190230,93253,63499,33478,196177,98401,64233,33543,203942,103584,65936,34422,215285,111912,68108,35265,224700,117312,71548,35840
"Lạng Sơn",188681,95570,73275,19836,184970,87410,74473,23087,179042,79182,72900,26960,171612,70738,71259,29615,161865,64381,67372,30112,150671,60552,61874,28245,140468,57431,56464,26573,135187,57275,51946,25966,130434,57583,46760,26091,128428,56989,45308,26131,127032,56844,43836,26352,125596,57607,42787,25202,125287,57295,43736,24256,126103,58639,43831,23633,127820,60952,43842,23026,130754,63352,44403,22999,135383,68004,44521,22858,139062,71597,44567,22898
"Bắc Giang",369948,162834,154336,52778,361151,151822,151992,57337,355627,142383,150124,63120,334349,130213,134509,69627,326468,124713,129435,72320,308753,123233,118223,67297,287788,120102,107455,60231,279522,120173,103043,56306,271139,119595,96081,55463,268211,119168,95489,53554,267043,120340,95070,51633,268893,124948,93769,50176,270837,127048,95041,48748,276550,133223,94134,49193,283468,139524,94076,49868,292115,145661,95787,50667,308720,158791,98828,51101,323802,169613,102528,51661
"Phú Thọ",298382,129604,119747,49031,291613,120110,119156,52347,282452,108357,118799,55296,265510,98138,110336,57036,250448,92458,102840,55150,234531,91024,94031,49476,220137,90012,84131,45994,214342,92205,78002,44135,210151,95298,70783,44070,208653,96984,70117,41552,208333,98933,69779,39621,211498,104992,69633,36873,217104,108305,73330,35469,224893,114463,74768,35662,233084,120492,76546,36046,242587,126328,79180,37079,257884,137394,82688,37802,266334,140400,86425,39509
"Điện Biên",..,..,..,..,..,..,..,..,104548,62162,30410,11976,105334,58546,32653,14135,104831,57060,33210,14561,103697,54768,34467,14462,104848,54486,36169,14193,107136,55751,37359,14026,109387,58075,36808,14504,112048,60175,36424,15449,113814,61665,36398,15751,116245,63281,37087,15877,118878,63740,39754,15384,120319,64595,40530,15194,124048,65510,42785,15753,126973,66300,44279,16394,130772,69005,45135,16632,134654,70486,46237,17931
"Lai Châu",136998,89850,36891,10257,162112,104738,44239,13135,61346,41457,16308,3581,66338,44412,17629,4297,67899,42688,20151,5060,69742,42908,21243,5591,70800,41848,23132,5820,73154,42624,24830,5700,75146,43744,25532,5870,78296,45551,26395,6350,81721,47630,27284,6807,85724,50164,27976,7584,89596,51709,29627,8260,93522,53159,31594,8769,96402,54424,33012,8966,99857,55314,35302,9241,103634,57063,36890,9681,106456,58117,38164,10175
"Sơn La",231848,143215,70558,18075,235071,136649,76677,21745,233478,129328,78324,25826,230718,119676,80857,30185,229943,113270,83740,32933,222166,108181,82253,31732,216021,106853,78515,30653,211177,106098,76325,28754,217550,113228,74183,30139,213770,114799,69280,29691,217119,118539,70063,28517,221970,122814,71919,27237,227300,125403,75514,26383,234574,128642,78876,27056,241777,131506,82522,27749,249806,134531,85935,29340,259076,139806,88921,30349,272333,144225,91938,36170
"Hòa Bình",181583,85028,73544,23011,180765,77858,74882,28025,171000,70718,72163,28119,163091,64740,68615,29736,156958,61139,64082,31737,148678,59382,59360,29936,135659,56988,51458,27213,127741,55683,45362,26696,129147,58911,44202,26034,128455,59973,42809,25673,129759,61094,43610,25055,132961,64107,43861,24993,135407,66303,45268,23836,138896,69118,45683,24095,142659,71303,47054,24302,148180,74942,48342,24896,155187,79927,50912,24348,159518,81255,52708,25555
