"Ðịa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Hà Nam",7119,2986,3217,916,7252,2941,3334,977,7182,2788,3264,1130,7096,2703,3247,1146,7087,2682,3219,1186,7108,2549,3289,1270,7056,2539,3178,1339,7377,2715,3311,1351,7403,2858,3187,1358,7195,2756,3055,1384,7222,2854,2963,1405,7283,2987,2956,1340,7299,3073,2941,1285,7181,3044,2846,1291,6970,3068,2826,1076,6152,2559,2326,1267,6719,3095,2448,1176,6750,3087,2379,1284
"Nam Định",16044,6632,7164,2248,15999,6509,7180,2310,15986,6344,7178,2464,15961,6188,7257,2516,16113,6248,7260,2605,15785,5870,7012,2903,16044,5840,7071,3133,16701,6053,7451,3197,16357,6362,6766,3229,16296,6260,6782,3254,16498,6502,6793,3203,16474,6617,6657,3200,16510,6756,6539,3215,16155,6633,6308,3214,16249,6824,6278,3147,16334,6975,6232,3127,15758,6907,5954,2897,15400,6711,5793,2896
"Ninh Bình",8778,3773,3929,1076,8788,3745,3911,1132,8632,3598,3788,1246,8506,3419,3685,1402,8248,3103,3705,1440,8231,3208,3518,1505,7927,3076,3345,1506,8231,3224,3421,1586,8143,3252,3346,1545,8046,3250,3304,1492,8283,3415,3324,1544,8257,3418,3304,1535,8410,3526,3352,1532,8460,3568,3345,1547,8460,3551,3329,1580,8463,3630,3240,1593,8455,3655,3211,1589,8387,3639,3149,1599
"Trung du và miền núi phía Bắc",124062,68214,44379,11469,130249,69220,47869,13160,132543,67661,50346,14536,134702,67063,51799,15840,135177,64932,53115,17130,137349,65079,53972,18298,137426,65168,53325,18933,139311,66456,53199,19656,142817,69174,53733,19910,139266,67979,51242,20045,144228,71514,52589,20125,144031,71863,52116,20052,143408,72170,51487,19751,143498,72540,51115,19843,142322,71897,50768,19657,141073,71668,49888,19517,135007,69351,47070,18586,133521,68161,46239,19121
"Hà Giang",8960,6285,1798,877,9015,6317,2112,586,9283,6154,2505,624,9439,5860,2856,723,9528,5678,3059,791,10261,5966,3434,861,10577,6103,3505,969,10876,6161,3677,1038,11360,6473,3795,1092,10938,6265,3611,1062,11649,6643,3909,1097,11604,6617,3887,1100,11462,6540,3834,1088,11490,6482,3873,1135,11426,6459,3825,1142,11329,6406,3807,1116,11181,6293,3808,1080,10710,6048,3589,1073
"Cao Bằng",6243,3780,1891,572,6583,3865,2111,607,6376,3753,2024,599,6553,3773,2181,599,7058,3831,2443,784,6911,3545,2508,858,7271,3781,2521,969,7474,3788,2682,1004,7731,3955,2768,1008,7440,3922,2577,941,7533,3982,2601,950,7694,4148,2582,964,7696,4211,2549,936,7621,4220,2507,894,7610,4221,2504,885,7480,4170,2441,869,7175,4016,2333,826,7019,3964,2239,816
"Bắc Kạn",3997,2093,1563,341,3742,1879,1495,368,3666,1803,1450,413,3705,1749,1476,480,3719,1750,1476,493,3723,1752,1497,474,3820,1786,1424,610,4105,2002,1467,636,4149,2094,1461,594,3869,1984,1306,579,4027,2141,1313,573,4061,2183,1321,557,4080,2194,1349,537,4072,2233,1339,500,4115,2229,1361,525,4078,2218,1343,517,3671,2010,1183,478,3721,2029,1218,474
"Tuyên Quang",8855,4547,3302,1006,9154,4475,3387,1292,9228,4349,3464,1415,9354,4277,3482,1595,9083,4010,3390,1683,8863,3966,3294,1603,8438,3817,3035,1586,8497,3851,3097,1549,8374,3858,3011,1505,7376,3319,2566,1491,8295,3909,2922,1464,8253,3923,2880,1450,8177,3942,2826,1409,8283,3998,2837,1448,8260,4046,2831,1383,8113,4030,2717,1366,6785,3580,2087,1118,7499,3685,2438,1376
"Lào Cai",7598,4563,2578,457,7317,4186,2595,536,7814,4166,3028,620,7945,4086,3137,722,8387,4150,3411,826,8456,4236,3307,913,8253,3906,3398,949,9254,4760,3483,1011,9535,4915,3565,1055,9832,5183,3558,1091,10127,5480,3521,1126,9906,5323,3471,1112,10144,5498,3503,1143,10446,5758,3508,1180,10112,5605,3374,1133,10173,5644,3353,1176,9862,5524,3278,1060,9463,5251,3061,1151
"Yên Bái",8619,4579,3167,873,8582,4419,3210,953,8743,4195,3471,1077,8716,4029,3514,1173,8669,3843,3532,1294,8675,3810,3496,1369,8513,3745,3385,1383,8615,3812,3421,1382,8609,3998,3298,1313,8851,4199,3312,1340,8821,4273,3289,1259,8693,4238,3194,1261,8594,4204,3160,1230,8421,4149,3082,1190,8249,4092,3014,1143,7972,3984,2886,1102,7889,3904,2940,1045,7642,3790,2812,1040
