"Ðịa phương","2002 Tổng số","2002 Tiểu học","2002 Trung học cơ sở","2002 Trung học phổ thông","2003 Tổng số","2003 Tiểu học","2003 Trung học cơ sở","2003 Trung học phổ thông","2004 Tổng số","2004 Tiểu học","2004 Trung học cơ sở","2004 Trung học phổ thông","2005 Tổng số","2005 Tiểu học","2005 Trung học cơ sở","2005 Trung học phổ thông","2006 Tổng số","2006 Tiểu học","2006 Trung học cơ sở","2006 Trung học phổ thông","2007 Tổng số","2007 Tiểu học","2007 Trung học cơ sở","2007 Trung học phổ thông","2008 Tổng số","2008 Tiểu học","2008 Trung học cơ sở","2008 Trung học phổ thông","2009 Tổng số","2009 Tiểu học","2009 Trung học cơ sở","2009 Trung học phổ thông","2010 Tổng số","2010 Tiểu học","2010 Trung học cơ sở","2010 Trung học phổ thông","2011 Tổng số","2011 Tiểu học","2011 Trung học cơ sở","2011 Trung học phổ thông","2012 Tổng số","2012 Tiểu học","2012 Trung học cơ sở","2012 Trung học phổ thông","2013 Tổng số","2013 Tiểu học","2013 Trung học cơ sở","2013 Trung học phổ thông","2014 Tổng số","2014 Tiểu học","2014 Trung học cơ sở","2014 Trung học phổ thông","2015 Tổng số","2015 Tiểu học","2015 Trung học cơ sở","2015 Trung học phổ thông","2016 Tổng số","2016 Tiểu học","2016 Trung học cơ sở","2016 Trung học phổ thông","2017 Tổng số","2017 Tiểu học","2017 Trung học cơ sở","2017 Trung học phổ thông","2018 Tổng số","2018 Tiểu học","2018 Trung học cơ sở","2018 Trung học phổ thông","2019 Tổng số","2019 Tiểu học","2019 Trung học cơ sở","2019 Trung học phổ thông"
"Khánh  Hòa",8958,4446,3342,1170,9284,4545,3535,1204,9542,4483,3820,1239,9794,4361,4099,1334,10120,4361,4295,1464,10405,4459,4391,1555,10161,4138,4298,1725,10059,4035,4203,1821,10852,4733,4177,1942,10979,4807,4126,2046,11270,5096,4222,1952,11299,5051,4163,2085,11416,5075,4251,2090,11463,5051,4275,2137,11334,4992,4185,2157,11333,4987,4218,2128,11101,4952,4078,2071,10627,4746,3893,1988
"Ninh  Thuận",4750,2782,1518,450,4999,2764,1739,496,5077,2703,1808,566,5231,2716,1879,636,5414,2661,2045,708,5521,2726,2018,777,5716,2739,2098,879,5802,2818,2077,907,6047,2845,2237,965,5806,2720,2082,1004,5984,2834,2023,1127,6204,3016,2172,1016,6278,3052,2203,1023,6236,3076,2166,994,6312,3136,2163,1013,6247,3139,2163,945,5660,3094,1876,690,5800,2903,1942,955
"Bình Thuận",9279,5357,2886,1036,10211,5689,3379,1143,10612,5558,3796,1258,11034,5471,4165,1398,11142,5254,4362,1526,11567,5259,4651,1657,11685,5226,4715,1744,11912,5295,4799,1818,12230,5395,4803,2032,12397,5394,4761,2242,12849,5472,4772,2605,13055,5716,4813,2526,13042,5760,4783,2499,13106,5886,4766,2454,12979,5895,4696,2388,12781,5860,4569,2352,11136,5802,4041,1293,12616,5971,4387,2258
"Tây Nguyên",43968,24572,14887,4509,47177,25574,16350,5253,49628,25889,17783,5956,51935,25949,19086,6900,53337,25733,19545,8059,55582,26038,20564,8980,56798,26373,21200,9225,58144,26450,21735,9959,60710,28197,22273,10240,60580,28167,21965,10448,63533,30294,23027,10212,64558,30561,22941,11056,65412,31468,22996,10948,65563,31734,22981,10848,65670,31945,22900,10825,65106,31791,22540,10775,61948,30962,21271,9715,61146,29539,21152,10455
"Kon Tum",4616,2627,1601,388,4908,2786,1638,484,5391,2901,1923,567,5940,2963,2251,726,5800,2924,2151,725,5977,2965,2174,838,5541,2609,2223,709,6279,2992,2411,876,6664,3209,2472,983,6666,3171,2479,1016,6999,3382,2598,1019,7180,3472,2655,1053,7291,3529,2660,1102,7060,3406,2593,1061,7195,3509,2636,1050,7090,3457,2587,1046,6940,3403,2491,1046,6741,3237,2476,1028
"Gia Lai",10217,6092,3219,906,10655,6094,3547,1014,10900,6024,3729,1147,11754,6140,4154,1460,12409,6186,4496,1727,12585,6161,4590,1834,13036,6384,4696,1956,13140,6114,4879,2147,13909,6742,5036,2131,13962,6831,4996,2135,14680,7378,5170,2132,15139,7631,5262,2246,15242,7818,5174,2250,15353,7912,5210,2231,15029,7737,5087,2205,14890,7691,5024,2175,14051,7166,4752,2133,13869,7091,4649,2129
"Đắk Lắk",18560,10700,6123,1737,20566,11449,7008,2109,17953,9469,6424,2060,17923,9108,6564,2251,18634,9185,6757,2692,19762,9357,7253,3152,20261,9610,7439,3212,20421,9478,7546,3397,20961,9816,7672,3473,21170,10049,7560,3561,21718,10462,7751,3505,22465,10550,8022,3893,22110,10641,7887,3582,22333,10875,7898,3560,22512,10993,7944,3575,22400,10985,7828,3587,20575,10723,7141,2711,20764,10175,7164,3425
"Đắk Nông",..,..,..,..,..,..,..,..,3942,2226,1359,357,4667,2582,1640,445,4439,2308,1563,568,5126,2528,1814,784,5513,2657,1969,887,5709,2760,2014,935,6171,2973,2123,1075,6322,3033,2189,1100,6427,3104,2232,1091,6725,3312,2245,1168,6877,3376,2302,1199,6864,3337,2318,1209,6887,3380,2296,1211,6777,3339,2233,1205,6879,3387,2306,1186,6461,3049,2196,1216
"Lâm Đồng",10575,5153,3944,1478,11048,5245,4157,1646,11442,5269,4348,1825,11651,5156,4477,2018,12055,5130,4578,2347,12132,5027,4733,2372,12447,5113,4873,2461,12595,5106,4885,2604,13005,5457,4970,2578,12460,5083,4741,2636,13709,5968,5276,2465,13049,5596,4757,2696,13892,6104,4973,2815,13953,6204,4962,2787,14047,6326,4937,2784,13949,6319,4868,2762,13503,6283,4581,2639,13311,5987,4667,2657
"Đông Nam Bộ",76816,37412,28294,11110,80419,38224,30046,12149,82709,38907,30971,12831,85624,38644,32604,14376,86611,38313,32655,15643,89702,38697,33902,17103,92862,39576,34853,18433,95687,40672,34888,20127,95097,40974,34904,19219,100847,42604,36599,21644,102670,43986,36431,22253,107282,46352,38221,22709,110539,48056,39266,23217,112744,49355,39949,23440,114396,50251,40407,23738,116094,51019,40949,24126,105326,48979,37808,18539,114965,52023,40156,22786
"Bình Phước",6593,3942,2125,526,7161,4157,2355,649,7237,4242,2316,679,8100,4301,2772,1027,8118,4232,2778,1108,9055,4396,3137,1522,9437,4546,3316,1575,9056,4637,2809,1610,9837,4715,3363,1759,9681,4559,3288,1834,9376,4631,2838,1907,10323,4862,3530,1931,10484,4904,3571,2009,10617,5005,3600,2012,10736,5027,3646,2063,10511,4935,3536,2040,10851,5047,3708,2096,10778,4964,3715,2099
"Tây Ninh",8555,4766,3036,753,8890,4741,3297,852,9136,4777,3495,864,9187,4660,3543,984,9145,4455,3563,1127,9054,4401,3497,1156,9305,4533,3486,1286,9263,4437,3451,1375,9324,4542,3372,1410,9246,4564,3313,1369,9477,4819,3253,1405,9215,4551,3286,1378,9374,4694,3255,1425,9548,4781,3352,1415,9567,4831,3319,1417,9506,4816,3281,1409,9505,4836,3304,1365,8996,4472,3163,1361
"Bình  Dương",6498,3371,2312,815,6701,3333,2417,951,6817,3383,2422,1012,6908,3296,2467,1145,7081,3294,2533,1254,7133,3247,2546,1340,7336,3223,2711,1402,7788,3553,2808,1427,7971,3638,2825,1508,8231,3801,2896,1534,9088,4182,3255,1651,9973,4868,3413,1692,10788,5255,3756,1777,11267,5586,3902,1779,12025,5919,4210,1896,12763,6209,4590,1964,12676,6361,4461,1854,12613,6308,4447,1858
"Đồng Nai",16073,8231,5856,1986,16753,8349,6165,2239,16886,8287,6342,2257,18031,8472,7014,2545,18137,8458,6793,2886,18519,8385,7080,3054,19107,8413,7394,3300,19821,8379,7843,3599,19991,8800,7504,3687,20175,8802,7513,3860,20333,8923,7582,3828,20795,9281,7697,3817,21271,9528,7826,3917,21628,9713,7959,3956,21791,9911,7982,3898,22080,10033,8051,3996,21998,10493,8145,3360,22101,10263,8078,3760
"Bà Rịa - Vũng Tàu",7149,3628,2546,975,7687,3652,2803,1232,7929,3551,3040,1338,8437,3649,3236,1552,8569,3665,3304,1600,8767,3639,3410,1718,9244,3862,3510,1872,9638,3898,3538,2202,9656,4098,3538,2020,9643,4067,3508,2068,9660,4069,3548,2043,9988,4238,3614,2136,10134,4395,3612,2127,10233,4396,3743,2094,10193,4398,3702,2093,10228,4449,3697,2082,8447,4512,3069,866,10158,4458,3697,2003
"TP. Hồ Chí Minh",31948,13474,12419,6055,33227,13992,13009,6226,34704,14667,13356,6681,34961,14266,13572,7123,35561,14209,13684,7668,37174,14629,14232,8313,38433,14999,14436,8998,40121,15768,14439,9914,38318,15181,14302,8835,43871,16811,16081,10979,44736,17362,15955,11419,46988,18552,16681,11755,48488,19280,17246,11962,49451,19874,17393,12184,50084,20165,17548,12371,51006,20577,17794,12635,41849,17730,15121,8998,50319,21558,17056,11705
"Đồng bằng sông Cửu Long",127646,71902,42997,12747,135291,72816,47655,14820,138200,72140,49525,16535,140549,70155,51592,18802,142688,69266,52358,21064,144515,69427,53019,22069,145852,69024,53729,23099,148974,70689,54124,24161,150921,72344,53966,24611,151025,72436,54092,24497,155340,75776,54733,24831,155703,75938,54470,25295,156591,76999,54439,25153,157200,77277,54837,25086,156228,76792,54584,24852,155104,76116,54214,24774,153588,75965,53364,24259,148496,72143,51851,24502
"Long An",10443,5619,3782,1042,10802,5557,4158,1087,10958,5357,4376,1225,11143,5403,4367,1373,10855,5105,4275,1475,11128,5128,4473,1527,11559,5240,4579,1740,12215,5346,4812,2057,12424,5616,4754,2054,12857,5857,4775,2225,14008,6486,5077,2445,13859,6404,4984,2471,13973,6491,4957,2525,13744,6423,4856,2465,13581,6355,4789,2437,13474,6357,4731,2386,13182,6258,4626,2298,12893,6028,4493,2372
"Tiền Giang",11609,5527,4729,1353,11932,5544,4914,1474,11910,5369,4949,1592,12244,5252,5132,1860,11908,5024,5014,1870,12121,5144,4934,2043,12433,5397,4995,2041,12673,5570,5007,2096,12905,5806,4909,2190,12981,5959,4852,2170,13047,6050,4840,2157,13102,6169,4789,2144,13342,6287,4913,2142,13411,6251,4992,2168,13312,6277,4883,2152,13140,6153,4877,2110,13016,6222,4794,2000,12668,5938,4661,2069
"Bến Tre",10429,5145,4105,1179,10650,4945,4238,1467,10414,4950,3916,1548,10964,4898,4451,1615,10946,4705,4514,1727,11039,4707,4492,1840,10875,4586,4428,1861,10891,4605,4383,1903,11030,4697,4344,1989,10891,4699,4302,1890,11480,5100,4451,1929,11163,4969,4270,1924,11209,5073,4247,1889,11216,5099,4241,1876,11083,5016,4210,1857,10813,4889,4112,1812,11057,4974,4280,1803,10522,4722,3993,1807
"Trà Vinh",8621,4487,2905,1229,9380,4643,3382,1355,9962,4569,3876,1517,9905,4495,3834,1576,9635,4376,3564,1695,9757,4485,3486,1786,9753,4417,3513,1823,9739,4560,3437,1742,10011,4732,3525,1754,9900,4704,3490,1706,10120,4905,3518,1697,10060,4945,3442,1673,10184,5011,3488,1685,10274,5070,3515,1689,10311,5079,3555,1677,10312,5067,3564,1681,10270,5105,3480,1685,9996,4873,3413,1710
"Vĩnh Long",7973,3839,3083,1051,9182,4038,3894,1250,9088,4166,3469,1453,8892,3749,3420,1723,9266,3808,3548,1910,9591,3904,3569,2118,9780,4057,3587,2136,9833,4085,3574,2174,9906,4172,3538,2196,9719,3999,3530,2190,10033,4326,3537,2170,9980,4333,3512,2135,9747,4165,3515,2067,9722,4188,3505,2029,9740,4192,3488,2060,9594,4131,3407,2056,9557,4196,3343,2018,9204,3979,3237,1988
"Đồng Tháp",12602,7207,4080,1315,12962,7129,4291,1542,13650,7006,4769,1875,14074,6986,4974,2114,14191,6868,5053,2270,14147,6747,5050,2350,14036,6581,5021,2434,14766,6878,5076,2812,14871,7045,5122,2704,14918,6951,5423,2544,14721,7168,5012,2541,14820,7293,5016,2511,14824,7319,5023,2482,14683,7244,4974,2465,14634,7242,4971,2421,14629,7170,5006,2453,14652,7245,4990,2417,13958,6762,4789,2407
"An Giang",13069,7437,4209,1423,14083,7674,4848,1561,14699,7765,5140,1794,15141,7645,5434,2062,15355,7146,5893,2316,16616,7834,6330,2452,16409,7401,6455,2553,17248,7746,6711,2791,17659,7969,6796,2894,17754,8060,6737,2957,18227,8493,6833,2901,18840,8747,7048,3045,19035,8983,7038,3014,18875,8932,6951,2992,18601,8856,6868,2877,18646,8836,6847,2963,18679,9120,6696,2863,18350,8748,6671,2931
"Kiên  Giang",12673,7900,3861,912,13394,8019,4236,1139,13914,7812,4682,1420,14271,7662,4973,1636,14339,7517,5067,1755,14676,7488,5208,1980,15160,7677,5368,2115,15588,8010,5387,2191,15888,8330,5366,2192,15872,8439,5347,2086,16360,8799,5423,2138,16616,9115,5358,2143,16333,8942,5276,2115,16429,9018,5322,2089,16427,8993,5329,2105,16330,8956,5295,2079,16414,9019,5348,2047,15802,8617,5155,2030
"Cần Thơ",13398,7698,4463,1237,14131,7843,4873,1415,7521,4149,2611,761,8280,4188,2996,1096,8694,4255,3070,1369,8646,4298,3094,1254,8828,4351,3111,1366,8940,4351,3170,1419,9127,4392,3205,1530,9005,4373,3144,1488,9452,4562,3315,1575,9457,4496,3234,1727,9580,4498,3357,1725,9843,4592,3379,1872,9928,4653,3440,1835,9840,4574,3453,1813,9715,4606,3315,1794,9528,4420,3325,1783
"Hậu Giang",..,..,..,..,..,..,..,..,6389,3671,2081,637,6437,3591,2165,681,6727,3704,2226,797,6780,3626,2288,866,6727,3595,2200,932,6654,3528,2188,938,6770,3586,2212,972,6492,3318,2151,1023,7047,3717,2272,1058,6982,3578,2252,1152,6684,3587,2029,1068,7027,3664,2312,1051,7080,3730,2293,1057,7057,3688,2326,1043,6920,3577,2304,1039,6580,3316,2229,1035
"Sóc Trăng",9915,6454,2621,840,10481,6327,3035,1119,11289,6400,3585,1304,11583,6523,3667,1393,11678,6405,3706,1567,12020,6533,3766,1721,12286,6373,4091,1822,12117,6260,4082,1775,12313,6416,4037,1860,12653,6519,4281,1853,12287,6136,4367,1784,12228,5913,4368,1947,13062,6713,4416,1933,13165,6786,4491,1888,12987,6688,4416,1883,12826,6604,4352,1870,12459,6428,4211,1820,11793,5947,4052,1794
"Bạc Liêu",6443,4001,1948,494,6936,4142,2200,594,6727,4004,2214,509,7144,3933,2441,770,8190,4536,2688,966,6960,3720,2366,874,6647,3468,2262,917,6527,3484,2175,868,6616,3550,2210,856,6535,3495,2205,835,6726,3615,2249,862,6585,3484,2272,829,6403,3334,2251,818,6492,3357,2309,826,6396,3258,2323,815,6450,3281,2355,814,6415,3308,2324,783,6199,3149,2270,780
"Cà Mau",10471,6588,3211,672,11358,6955,3586,817,11679,6922,3857,900,10471,5830,3738,903,10904,5817,3740,1347,11034,5813,3963,1258,11359,5881,4119,1359,11783,6266,4122,1395,11401,6033,3948,1420,11448,6063,3855,1530,11832,6419,3839,1574,12011,6492,3925,1594,12215,6596,3929,1690,12319,6653,3990,1676,12148,6453,4019,1676,11993,6410,3889,1694,11252,5907,3653,1692,11003,5644,3563,1796
