"Tỉnh, thành phố","Tổng số 1995","Tổng số 1996","Tổng số 1997","Tổng số 1998","Tổng số 1999","Tổng số 2000","Tổng số 2001","Tổng số 2002","Tổng số 2003","Tổng số 2004","Tổng số 2005","Tổng số 2006","Tổng số 2007","Tổng số 2008","Tổng số 2009","Tổng số 2010","Tổng số 2011","Tổng số 2012","Tổng số 2013","Tổng số 2014","Tổng số 2015","Tổng số 2016","Tổng số 2017","Tổng số 2018","Tổng số Sơ bộ 2019","Nam 1995","Nam 1996","Nam 1997","Nam 1998","Nam 1999","Nam 2000","Nam 2001","Nam 2002","Nam 2003","Nam 2004","Nam 2005","Nam 2006","Nam 2007","Nam 2008","Nam 2009","Nam 2010","Nam 2011","Nam 2012","Nam 2013","Nam 2014","Nam 2015","Nam 2016","Nam 2017","Nam 2018","Nam Sơ bộ 2019","Nữ 1995","Nữ 1996","Nữ 1997","Nữ 1998","Nữ 1999","Nữ 2000","Nữ 2001","Nữ 2002","Nữ 2003","Nữ 2004","Nữ 2005","Nữ 2006","Nữ 2007","Nữ 2008","Nữ 2009","Nữ 2010","Nữ 2011","Nữ 2012","Nữ 2013","Nữ 2014","Nữ 2015","Nữ 2016","Nữ 2017","Nữ 2018","Nữ Sơ bộ 2019","Thành thị 1995","Thành thị 1996","Thành thị 1997","Thành thị 1998","Thành thị 1999","Thành thị 2000","Thành thị 2001","Thành thị 2002","Thành thị 2003","Thành thị 2004","Thành thị 2005","Thành thị 2006","Thành thị 2007","Thành thị 2008","Thành thị 2009","Thành thị 2010","Thành thị 2011","Thành thị 2012","Thành thị 2013","Thành thị 2014","Thành thị 2015","Thành thị 2016","Thành thị 2017","Thành thị 2018","Thành thị Sơ bộ 2019","Nông thôn 1995","Nông thôn 1996","Nông thôn 1997","Nông thôn 1998","Nông thôn 1999","Nông thôn 2000","Nông thôn 2001","Nông thôn 2002","Nông thôn 2003","Nông thôn 2004","Nông thôn 2005","Nông thôn 2006","Nông thôn 2007","Nông thôn 2008","Nông thôn 2009","Nông thôn 2010","Nông thôn 2011","Nông thôn 2012","Nông thôn 2013","Nông thôn 2014","Nông thôn 2015","Nông thôn 2016","Nông thôn 2017","Nông thôn 2018","Nông thôn Sơ bộ 2019"
"Quảng Nam",1322.0,1335.3,1348.1,1361.8,1375.8,1382.5,1388.8,1394.3,1398.6,1403.0,1407.4,1410.8,1413.9,1417.8,1423.0,1433.2,1442.7,1452.9,1463.2,1471.8,1468.2,1475.7,1483.3,1490.8,1497.5,639.1,645.9,652.2,659.4,665.8,668.7,671.8,674.5,676.1,679.3,681.3,683.4,684.6,689.0,693.3,699.3,705.0,710.4,715.4,719.7,719.4,724.0,728.5,732.8,736.5,682.9,689.4,695.9,702.4,710.0,713.8,717.0,719.8,722.5,723.7,726.1,727.4,729.3,728.8,729.7,733.9,737.6,742.5,747.8,752.1,748.7,751.7,754.8,757.9,760.9,178.2,181.6,188.4,191.8,197.4,209.4,215.2,221.1,226.9,232.9,239.0,245.2,251.4,257.9,264.0,271.7,274.8,277.2,281.0,283.5,359.9,363.9,368.4,373.1,379.6,1143.8,1153.7,1159.7,1170.0,1178.4,1173.1,1173.6,1173.2,1171.7,1170.1,1168.4,1165.6,1162.5,1159.9,1159.0,1161.5,1167.9,1175.7,1182.2,1188.3,1108.3,1111.8,1114.9,1117.7,1117.8
"Quảng Ngãi",1149.0,1159.7,1170.4,1181.4,1191.9,1194.3,1197.8,1200.6,1203.2,1206.5,1210.0,1212.6,1214.8,1217.0,1217.2,1221.0,1225.2,1229.8,1236.3,1241.4,1226.2,1227.5,1228.9,1230.5,1231.9,559.5,565.1,570.5,576.4,581.2,582.9,584.7,586.4,587.9,589.7,592.1,594.2,596.1,598.5,600.0,602.0,604.3,606.4,610.0,611.6,605.5,606.2,607.2,608.2,608.9,589.5,594.6,599.9,605.0,610.7,611.4,613.1,614.2,615.3,616.8,617.9,618.4,618.7,618.5,617.2,618.9,621.0,623.5,626.3,629.8,620.7,621.2,621.8,622.4,623.0,110.8,115.0,121.5,126.1,132.0,134.1,136.5,153.6,169.8,171.3,173.0,174.1,175.6,177.3,178.0,178.8,179.6,180.2,181.2,193.5,191.8,194.2,196.6,199.1,201.5,1038.2,1044.7,1048.9,1055.3,1059.9,1060.2,1061.3,1047.0,1033.4,1035.2,1037.0,1038.5,1039.2,1039.7,1039.2,1042.2,1045.7,1049.6,1055.0,1047.9,1034.4,1033.3,1032.4,1031.5,1030.4
"Bình Ðịnh",1394.4,1412.7,1431.3,1449.6,1465.2,1466.1,1468.4,1470.7,1473.1,1475.5,1477.8,1480.1,1482.3,1485.6,1487.4,1492.0,1498.2,1502.4,1509.3,1514.5,1487.6,1487.7,1487.7,1487.8,1487.8,676.2,685.5,694.8,704.3,711.5,711.6,712.7,713.9,715.4,718.7,719.8,720.9,722.8,725.3,725.1,727.3,730.4,732.4,735.8,739.8,726.9,727.8,729.1,730.7,732.7,718.2,727.2,736.5,745.3,753.7,754.5,755.7,756.8,757.7,756.8,758.0,759.2,759.5,760.3,762.3,764.7,767.9,770.0,773.5,774.7,760.8,759.9,758.7,757.1,755.1,262.4,268.2,279.2,344.4,353.1,355.0,361.0,367.1,373.4,379.7,386.2,392.7,399.4,406.5,412.5,413.8,415.6,462.9,465.1,469.5,471.5,472.9,474.2,475.5,476.8,1132.0,1144.5,1152.1,1105.2,1112.1,1111.1,1107.4,1103.6,1099.7,1095.8,1091.6,1087.4,1082.9,1079.1,1074.9,1078.2,1082.7,1039.5,1044.2,1045.0,1016.1,1014.8,1013.5,1012.2,1011.0
"Phú Yên",740.3,752.3,764.4,777.1,790.5,799.6,808.4,816.8,824.8,832.0,838.2,844.3,850.3,856.7,862.4,866.1,870.0,876.1,882.0,887.4,866.2,868.2,870.0,871.5,873.2,365.8,372.1,378.3,385.1,391.6,396.0,400.3,404.5,408.6,412.9,415.2,420.0,422.0,427.1,431.6,433.5,435.5,438.5,441.5,443.9,434.8,436.1,437.2,438.2,439.2,374.5,380.2,386.1,392.0,398.9,403.6,408.1,412.3,416.2,419.1,423.0,424.3,428.3,429.6,430.8,432.6,434.5,437.6,440.5,443.5,431.3,432.1,432.8,433.3,433.9,135.3,137.9,143.2,145.9,150.2,151.9,156.0,160.1,164.2,168.3,172.2,176.2,180.2,184.5,198.8,201.2,202.1,203.6,204.9,255.2,248.2,249.3,249.9,250.5,251.0,605.0,614.4,621.2,631.2,640.3,647.7,652.4,656.7,660.6,663.7,666.0,668.1,670.1,672.2,663.6,664.8,667.8,672.5,677.0,632.2,618.0,618.8,620.2,621.0,622.2
"Khánh Hoà",959.4,978.0,996.7,1016.2,1034.9,1049.6,1063.8,1077.2,1091.1,1104.0,1115.0,1125.2,1137.5,1149.3,1158.2,1164.3,1171.4,1180.1,1188.4,1196.9,1198.4,1207.2,1216.3,1224.5,1232.8,473.6,483.3,492.8,503.0,512.1,519.1,526.2,532.8,539.9,548.1,552.6,558.7,564.7,570.4,571.9,575.6,579.7,583.1,588.0,591.1,594.5,599.3,604.3,608.9,613.5,485.8,494.7,503.9,513.2,522.8,530.5,537.6,544.4,551.2,555.9,562.4,566.5,572.8,578.9,586.3,588.7,591.6,597.0,600.4,605.8,603.9,607.8,612.0,615.6,619.4,345.7,351.0,362.9,368.2,377.0,385.9,394.5,402.9,411.6,420.1,427.9,435.5,444.0,452.5,461.0,518.4,521.8,525.1,531.0,536.1,494.6,501.5,508.2,514.7,521.3,613.7,627.0,633.8,648.0,657.9,663.7,669.3,674.3,679.5,683.9,687.1,689.7,693.5,696.8,697.2,645.9,649.6,655.0,657.4,660.8,703.8,705.7,708.1,709.8,711.5
"Ninh Thuận",466.5,476.6,487.1,497.7,507.4,516.7,525.8,532.5,538.2,543.5,547.9,551.4,555.8,560.7,565.8,569.5,574.1,579.4,584.9,590.4,578.3,581.5,585.4,588.9,591.0,230.1,235.2,240.4,245.8,250.3,254.8,259.3,262.6,265.5,268.8,270.4,272.7,274.9,278.4,282.0,284.9,288.3,291.9,295.2,297.8,289.3,291.0,293.2,295.1,296.4,236.4,241.4,246.7,251.9,257.1,261.9,266.5,269.9,272.7,274.7,277.5,278.7,280.9,282.3,283.8,284.6,285.8,287.4,289.7,292.6,289.0,290.5,292.2,293.8,294.7,103.1,106.5,112.0,115.7,120.4,126.9,134.8,146.7,150.3,158.5,166.8,175.2,184.3,202.6,204.1,205.2,207.3,209.4,212.7,213.8,207.5,208.4,209.6,210.7,211.3,363.4,370.1,375.1,382.0,387.0,389.8,391.0,385.8,387.9,385.0,381.1,376.2,371.5,358.1,361.7,364.4,366.9,369.9,372.2,376.6,370.8,373.1,375.7,378.1,379.7
"Bình Thuận",951.7,976.2,1001.1,1027.0,1050.9,1063.9,1078.0,1093.4,1108.6,1122.2,1133.3,1142.1,1151.9,1162.0,1169.4,1176.8,1184.5,1191.6,1199.5,1207.4,1205.4,1213.6,1220.5,1227.3,1232.3,472.8,485.8,498.8,512.5,524.6,530.9,537.9,545.5,553.4,559.7,564.4,569.6,574.5,583.4,585.7,590.1,594.9,599.0,602.5,604.3,604.9,609.2,612.8,616.5,619.2,478.9,490.4,502.3,514.5,526.3,533.0,540.1,547.9,555.2,562.5,568.9,572.5,577.4,578.6,583.7,586.6,589.7,592.7,597.0,603.1,600.6,604.4,607.6,610.8,613.1,221.3,226.0,235.1,240.0,246.9,332.0,345.2,359.3,373.9,388.4,402.6,416.3,430.9,446.1,459.5,462.7,466.0,468.5,473.6,474.6,464.8,466.5,467.7,468.8,469.3,730.4,750.2,766.0,787.0,804.0,731.9,732.8,734.1,734.7,733.8,730.7,725.8,721.0,715.9,709.9,714.1,718.6,723.1,726.0,732.8,740.6,747.1,752.8,758.4,763.0
"Tây Nguyên",3384.8,3563.0,3743.1,3922.2,4096.1,4246.4,4367.5,4465.3,4561.2,4664.2,4768.2,4860.9,4948.0,5036.7,5128.8,5204.4,5282.2,5363.3,5445.8,5525.8,5584.3,5657.1,5725.5,5796.4,5861.3,1708.2,1797.7,1895.3,1987.1,2073.9,2149.0,2210.4,2259.9,2286.9,2349.0,2406.9,2454.4,2491.8,2526.5,2590.7,2637.0,2685.1,2736.3,2773.5,2786.4,2818.4,2854.5,2888.5,2923.7,2955.8,1676.6,1765.3,1847.8,1935.1,2022.2,2097.4,2157.1,2205.4,2274.3,2315.2,2361.3,2406.5,2456.2,2510.2,2538.1,2567.4,2597.0,2627.0,2672.3,2739.4,2765.9,2802.6,2837.0,2872.7,2905.5,820.5,877.8,963.3,1037.7,1098.3,1140.4,1180.5,1215.8,1239.7,1267.8,1305.1,1332.9,1364.9,1389.9,1449.9,1487.2,1511.3,1538.6,1573.6,1599.9,1596.2,1617.1,1638.2,1661.0,1681.7,2564.3,2685.2,2779.8,2884.5,2997.8,3106.0,3187.0,3249.5,3321.5,3396.4,3463.1,3528.0,3583.1,3646.8,3678.9,3717.2,3770.8,3824.7,3872.2,3925.9,3988.1,4039.9,4087.3,4135.4,4179.6
"Kon Tum",279.5,288.3,297.3,306.7,316.6,328.1,339.0,350.2,361.5,373.7,386.0,396.6,408.1,420.5,431.8,442.1,451.6,462.7,473.3,484.2,495.9,507.8,520.1,532.4,543.4,140.5,145.0,149.6,154.4,159.4,165.1,170.6,176.3,181.6,187.7,193.5,199.2,205.0,209.5,218.7,227.6,236.3,246.0,251.9,257.8,249.9,255.8,261.7,267.7,273.1,139.0,143.3,147.7,152.3,157.2,163.0,168.4,173.9,179.9,186.0,192.5,197.4,203.1,211.0,213.1,214.6,215.3,216.7,221.4,226.4,245.9,252.0,258.3,264.6,270.4,63.5,69.8,86.1,93.8,103.4,105.1,109.3,113.6,117.9,122.7,127.4,131.7,136.4,141.4,144.7,150.4,156.0,162.1,166.1,170.8,161.6,164.7,167.8,171.0,173.7,216.0,218.5,211.2,212.9,213.2,223.0,229.7,236.6,243.6,251.0,258.6,264.9,271.7,279.1,287.1,291.7,295.6,300.7,307.1,313.4,334.3,343.1,352.2,361.4,369.7
"Gia Lai",850.7,881.5,912.8,946.1,981.5,1026.3,1065.6,1092.9,1119.1,1147.1,1174.6,1200.5,1225.5,1251.3,1281.0,1301.6,1321.7,1340.5,1359.1,1377.8,1426.4,1447.2,1468.9,1495.7,1520.2,428.9,444.8,460.9,478.1,495.8,518.2,538.1,551.8,556.3,583.8,583.9,611.0,623.7,624.7,643.2,657.2,671.1,684.4,697.9,686.5,715.3,725.5,736.3,749.6,761.7,421.8,436.7,451.9,468.0,485.7,508.1,527.5,541.1,562.8,563.3,590.7,589.5,601.8,626.6,637.8,644.4,650.7,656.0,661.2,691.3,711.1,721.6,732.6,746.1,758.4,191.8,202.0,219.9,231.3,246.1,262.0,275.5,286.0,296.6,307.8,319.1,330.2,341.3,352.9,366.0,382.6,388.3,393.5,399.1,407.1,410.8,417.4,424.3,432.6,440.3,658.9,679.5,692.9,714.8,735.4,764.3,790.1,806.9,822.5,839.3,855.5,870.3,884.2,898.4,915.0,919.0,933.4,946.9,960.0,970.7,1015.6,1029.7,1044.7,1063.1,1079.9
