"Tỉnh, thành phố","Tổng số 1995","Tổng số 1996","Tổng số 1997","Tổng số 1998","Tổng số 1999","Tổng số 2000","Tổng số 2001","Tổng số 2002","Tổng số 2003","Tổng số 2004","Tổng số 2005","Tổng số 2006","Tổng số 2007","Tổng số 2008","Tổng số 2009","Tổng số 2010","Tổng số 2011","Tổng số 2012","Tổng số 2013","Tổng số 2014","Tổng số 2015","Tổng số 2016","Tổng số 2017","Tổng số 2018","Tổng số Sơ bộ 2019","Nam 1995","Nam 1996","Nam 1997","Nam 1998","Nam 1999","Nam 2000","Nam 2001","Nam 2002","Nam 2003","Nam 2004","Nam 2005","Nam 2006","Nam 2007","Nam 2008","Nam 2009","Nam 2010","Nam 2011","Nam 2012","Nam 2013","Nam 2014","Nam 2015","Nam 2016","Nam 2017","Nam 2018","Nam Sơ bộ 2019","Nữ 1995","Nữ 1996","Nữ 1997","Nữ 1998","Nữ 1999","Nữ 2000","Nữ 2001","Nữ 2002","Nữ 2003","Nữ 2004","Nữ 2005","Nữ 2006","Nữ 2007","Nữ 2008","Nữ 2009","Nữ 2010","Nữ 2011","Nữ 2012","Nữ 2013","Nữ 2014","Nữ 2015","Nữ 2016","Nữ 2017","Nữ 2018","Nữ Sơ bộ 2019","Thành thị 1995","Thành thị 1996","Thành thị 1997","Thành thị 1998","Thành thị 1999","Thành thị 2000","Thành thị 2001","Thành thị 2002","Thành thị 2003","Thành thị 2004","Thành thị 2005","Thành thị 2006","Thành thị 2007","Thành thị 2008","Thành thị 2009","Thành thị 2010","Thành thị 2011","Thành thị 2012","Thành thị 2013","Thành thị 2014","Thành thị 2015","Thành thị 2016","Thành thị 2017","Thành thị 2018","Thành thị Sơ bộ 2019","Nông thôn 1995","Nông thôn 1996","Nông thôn 1997","Nông thôn 1998","Nông thôn 1999","Nông thôn 2000","Nông thôn 2001","Nông thôn 2002","Nông thôn 2003","Nông thôn 2004","Nông thôn 2005","Nông thôn 2006","Nông thôn 2007","Nông thôn 2008","Nông thôn 2009","Nông thôn 2010","Nông thôn 2011","Nông thôn 2012","Nông thôn 2013","Nông thôn 2014","Nông thôn 2015","Nông thôn 2016","Nông thôn 2017","Nông thôn 2018","Nông thôn Sơ bộ 2019"
"Ðắk Lắk",1398.3,1501.8,1605.1,1703.1,1793.4,1860.9,1912.2,1954.5,1995.6,1635.6,1658.5,1677.8,1696.6,1715.1,1735.7,1752.7,1770.5,1791.4,1812.8,1833.3,1820.1,1836.4,1850.3,1861.5,1872.6,706.6,757.9,816.4,866.6,911.7,945.6,971.7,993.2,1006.2,825.0,849.2,852.7,855.8,866.0,876.3,884.7,893.5,903.5,912.3,922.5,918.2,926.3,933.2,938.7,944.2,691.7,743.9,788.7,836.5,881.7,915.3,940.5,961.3,989.4,810.6,809.3,825.1,840.8,849.1,859.4,868.0,877.0,887.9,900.5,910.8,902.0,910.1,917.1,922.8,928.4,257.6,266.8,298.6,340.5,359.2,375.8,391.5,406.3,409.4,363.3,367.2,371.8,376.6,378.5,416.4,421.2,426.1,431.3,438.7,444.6,444.8,450.1,454.9,459.1,463.3,1140.7,1235.0,1306.5,1362.6,1434.2,1485.1,1520.7,1548.2,1586.2,1272.3,1291.3,1306.0,1320.0,1336.6,1319.3,1331.5,1344.4,1360.1,1374.1,1388.6,1375.4,1386.3,1395.4,1402.4,1409.3
"Ðắk Nông",..,..,..,..,..,..,..,..,..,403.4,423.6,440.9,457.3,474.4,491.0,503.8,519.6,536.7,555.1,571.3,580.5,594.4,604.9,615.4,625.8,..,..,..,..,..,..,..,..,..,200.1,217.3,218.7,226.8,237.2,255.2,264.1,274.7,286.1,289.9,288.9,300.4,307.1,312.3,317.4,322.5,..,..,..,..,..,..,..,..,..,203.3,206.3,222.2,230.5,237.2,235.8,239.7,244.9,250.7,265.2,282.4,280.1,287.3,292.6,298.0,303.3,..,..,..,..,..,..,..,..,..,51.7,61.8,63.0,69.4,71.1,72.4,75.4,76.2,80.7,84.8,86.9,87.6,89.5,91.6,93.7,95.4,..,..,..,..,..,..,..,..,..,351.7,361.8,377.9,387.9,403.3,418.6,428.5,443.4,456.0,470.3,484.4,492.9,504.9,513.3,521.7,530.4
"Lâm Ðồng",856.3,891.4,927.9,966.3,1004.6,1031.1,1050.7,1067.7,1085.0,1104.4,1125.5,1145.1,1160.5,1175.4,1189.3,1204.1,1218.7,1232.0,1245.4,1259.3,1261.4,1271.3,1281.3,1291.4,1299.3,432.2,450.0,468.4,488.0,507.0,520.1,530.0,538.6,542.8,552.4,563.0,572.8,580.5,589.1,597.3,603.5,609.5,616.4,621.6,630.6,634.6,639.8,645.0,650.2,654.3,424.1,441.4,459.5,478.3,497.6,511.0,520.7,529.1,542.2,552.0,562.5,572.3,580.0,586.3,592.0,600.6,609.2,615.6,623.8,628.7,626.8,631.6,636.4,641.2,645.0,307.6,339.2,358.7,372.1,389.6,397.5,404.2,409.9,415.8,422.3,429.6,436.2,441.2,446.0,450.4,457.6,464.7,471.0,484.8,490.5,491.4,495.4,499.6,504.6,509.0,548.7,552.2,569.2,594.2,615.0,633.6,646.5,657.8,669.2,682.1,695.9,708.9,719.3,729.4,738.9,746.6,754.0,761.0,760.6,768.8,769.9,775.9,781.7,786.8,790.3
"Ðông Nam Bộ",9276.3,9494.5,9715.4,9954.1,10218.8,10604.5,10955.6,11282.1,11629.9,11990.7,12380.6,12822.8,13266.4,13683.6,14149.0,14480.3,14799.6,15130.7,15459.2,15790.3,16448.5,16789.2,17132.6,17527.4,17930.3,4520.2,4634.6,4755.1,4876.0,5005.5,5188.4,5362.0,5522.6,5674.2,5854.7,6045.2,6275.8,6488.0,6691.9,6895.2,7034.0,7170.8,7367.6,7524.0,7655.1,8086.2,8266.5,8448.7,8657.1,8870.4,4756.1,4859.9,4960.3,5078.1,5213.3,5416.1,5593.6,5759.5,5955.7,6136.0,6335.4,6547.0,6778.4,6991.7,7253.8,7446.3,7628.8,7763.1,7935.2,8135.2,8362.3,8522.7,8683.9,8870.3,9059.8,4548.9,4692.0,5284.0,5424.1,5667.0,5834.5,6001.6,6143.4,6322.1,6605.7,6923.1,7263.0,7553.2,7826.2,8114.0,8298.6,9021.1,9189.3,9441.7,9893.9,10279.6,10473.4,10679.9,11018.9,11617.6,4727.4,4802.5,4431.4,4530.0,4551.8,4770.0,4954.0,5138.7,5307.8,5385.0,5457.5,5559.8,5713.2,5857.4,6035.0,6181.7,5778.4,5941.4,6017.5,5896.4,6168.9,6315.9,6452.7,6508.5,6312.7
"Bình Phước",533.2,551.4,572.6,608.1,652.3,682.9,707.9,732.6,754.6,777.4,799.6,819.0,838.3,858.0,875.0,885.8,897.3,908.9,920.7,932.5,947.2,962.7,972.6,984.9,997.8,259.7,273.7,289.2,313.2,336.6,348.0,360.8,373.3,383.0,395.6,406.0,417.0,427.0,436.0,444.3,447.1,452.9,458.7,464.7,464.3,478.9,486.3,491.0,496.9,503.0,273.5,277.7,283.4,294.9,315.7,334.9,347.1,359.3,371.6,381.8,393.6,402.0,411.3,422.0,430.7,438.8,444.4,450.2,456.0,468.2,468.3,476.3,481.6,488.1,494.8,80.9,84.1,88.6,92.1,103.6,106.0,111.0,116.0,121.0,125.0,129.8,134.1,138.4,142.8,146.8,148.7,150.7,152.8,154.9,180.3,196.6,207.0,216.6,227.3,238.5,452.3,467.3,484.0,516.0,548.7,576.9,596.9,616.6,633.6,652.4,669.8,684.9,699.9,715.2,728.2,737.1,746.6,756.1,765.8,752.2,750.6,755.7,755.9,757.6,759.2
"Tây Ninh",910.0,924.1,938.8,953.7,968.0,983.3,996.5,1007.2,1017.9,1029.2,1038.2,1046.4,1053.0,1060.5,1067.2,1074.3,1082.0,1089.7,1096.9,1104.2,1129.9,1139.6,1151.1,1160.7,1171.7,446.2,453.5,460.9,468.7,475.6,482.9,489.4,494.6,499.6,506.5,509.0,515.0,518.0,525.0,531.0,533.4,536.1,538.5,539.8,546.4,563.6,568.8,574.7,579.8,585.5,463.8,470.6,477.9,485.0,492.4,500.4,507.1,512.6,518.3,522.7,529.2,531.4,535.0,535.5,536.2,540.9,545.9,551.2,557.1,557.8,566.3,570.9,576.4,580.9,586.2,107.1,110.8,116.7,120.7,126.0,136.0,140.0,143.0,147.0,151.0,154.5,158.0,161.4,165.0,166.3,167.8,169.4,170.8,173.0,206.5,206.9,207.2,207.5,207.8,208.3,802.9,813.3,822.1,833.0,842.0,847.3,856.5,864.2,870.9,878.2,883.7,888.4,891.6,895.5,900.9,906.4,912.6,918.9,923.9,897.7,923.0,932.5,943.6,952.9,963.4
"Bình Dương",639.0,658.5,679.0,700.1,720.8,779.4,845.5,910.0,973.1,1037.1,1109.3,1203.7,1307.0,1402.7,1512.5,1590.8,1659.1,1731.0,1802.5,1873.6,2069.2,2138.8,2227.2,2345.2,2456.3,309.3,318.7,328.6,338.9,348.7,376.9,408.8,440.0,461.8,496.6,527.0,576.0,626.0,675.0,727.5,764.1,798.0,834.3,869.9,904.4,1022.8,1062.0,1110.9,1175.2,1236.4,329.7,339.8,350.4,361.2,372.1,402.5,436.7,470.0,511.3,540.5,582.3,627.7,681.0,727.7,785.0,826.7,861.1,896.6,932.6,969.2,1046.4,1076.8,1116.2,1170.0,1219.9,111.9,129.4,188.0,211.5,241.0,236.0,256.0,275.0,293.0,312.0,333.8,361.7,392.3,420.5,453.0,503.7,1063.5,1122.5,1162.7,1438.8,1587.5,1632.3,1696.9,1875.7,1961.9,527.1,529.1,491.0,488.6,479.8,543.4,589.5,635.0,680.1,725.1,775.5,842.0,914.7,982.2,1059.5,1087.1,595.6,608.5,639.7,434.7,481.7,506.5,530.3,469.5,494.5
"Ðồng Nai",1844.8,1882.2,1920.0,1959.3,1999.5,2054.1,2093.7,2132.1,2176.1,2220.5,2263.8,2314.9,2372.6,2432.7,2499.7,2571.5,2640.2,2707.8,2772.7,2838.6,2890.0,2951.4,3004.9,3055.1,3113.7,924.0,942.3,960.5,979.7,998.5,1025.3,1045.0,1064.2,1077.5,1101.4,1121.0,1148.0,1177.0,1209.0,1238.0,1269.3,1298.9,1327.8,1355.1,1383.3,1442.4,1475.0,1503.7,1530.8,1562.2,920.8,939.9,959.5,979.6,1001.0,1028.8,1048.7,1067.9,1098.6,1119.1,1142.8,1166.9,1195.6,1223.7,1261.7,1302.2,1341.3,1380.0,1417.6,1455.3,1447.6,1476.4,1501.2,1524.3,1551.5,536.4,547.9,577.0,593.9,613.7,628.0,646.0,664.0,684.0,704.0,724.8,748.2,774.0,801.1,829.3,859.6,889.2,918.9,948.0,978.2,954.2,973.7,990.6,1006.3,1371.8,1308.4,1334.3,1343.0,1365.4,1385.8,1426.1,1447.7,1468.1,1492.1,1516.5,1539.0,1566.7,1598.6,1631.6,1670.4,1711.9,1751.0,1788.9,1824.7,1860.4,1935.8,1977.6,2014.3,2048.7,1742.0
"Bà Rịa - Vũng Tàu",708.9,730.4,752.7,775.6,805.1,829.9,858.0,880.8,899.1,918.9,938.8,955.7,970.2,983.6,998.5,1011.3,1022.5,1033.0,1046.5,1059.5,1104.3,1117.6,1127.2,1138.3,1152.2,354.8,365.8,376.9,388.1,402.8,415.0,429.1,440.5,449.8,460.6,470.0,479.0,486.0,493.0,499.1,505.4,511.0,516.0,521.7,528.9,553.3,560.2,565.3,571.0,578.2,354.1,364.6,375.8,387.5,402.3,414.9,428.9,440.3,449.3,458.3,468.8,476.7,484.2,490.6,499.4,505.9,511.5,517.0,524.8,530.6,551.0,557.4,562.0,567.3,574.0,246.5,271.9,284.9,295.1,337.8,353.0,371.0,388.0,403.0,419.0,435.7,451.3,466.3,481.0,497.8,504.5,510.2,515.1,524.0,535.3,606.8,624.2,639.8,656.7,675.6,462.4,458.5,467.8,480.5,467.3,476.9,487.0,492.8,496.1,499.9,503.1,504.4,503.9,502.6,500.7,506.8,512.2,517.8,522.6,524.3,497.5,493.4,487.4,481.6,476.6
"TP.Hồ Chí Minh",4640.4,4747.9,4852.3,4957.3,5073.1,5274.9,5454.0,5619.4,5809.1,6007.6,6230.9,6483.1,6725.3,6946.1,7196.1,7346.6,7498.4,7660.3,7820.0,7981.9,8307.9,8479.1,8649.6,8843.2,9038.6,2226.2,2280.6,2339.0,2387.4,2443.3,2540.3,2628.9,2710.0,2802.5,2894.0,3012.2,3140.8,3254.0,3353.9,3455.3,3514.7,3573.9,3692.3,3772.8,3828.0,4025.2,4114.2,4203.1,4303.6,4405.1,2414.2,2467.3,2513.3,2569.9,2629.8,2734.6,2825.1,2909.4,3006.6,3113.6,3218.7,3342.3,3471.3,3592.2,3740.8,3831.9,3924.6,3968.0,4047.2,4153.9,4282.7,4364.9,4446.5,4539.7,4633.4,3466.1,3547.9,4028.8,4110.8,4244.9,4375.5,4477.6,4557.4,4674.1,4894.7,5144.5,5409.7,5620.8,5815.8,6020.8,6114.3,6238.0,6309.1,6479.2,6554.7,6727.6,6829.0,6928.5,7045.1,7161.5,1174.3,1200.0,823.5,846.5,828.2,899.4,976.4,1062.0,1135.0,1112.9,1086.4,1073.4,1104.5,1130.3,1175.3,1232.3,1260.4,1351.1,1340.8,1427.2,1580.3,1650.2,1721.2,1798.2,1877.0
"Ðồng bằng sông Cửu Long",15531.9,15693.5,15858.8,16023.5,16184.2,16296.6,16420.3,16533.2,16639.7,16754.1,16859.3,16946.9,17042.0,17129.5,17199.9,17251.3,17306.8,17379.6,17448.7,17517.6,17266.7,17271.6,17279.5,17280.7,17282.5,7574.5,7666.0,7757.3,7850.4,7929.0,7982.3,8043.2,8098.6,8152.9,8208.7,8256.5,8302.6,8359.3,8464.9,8546.6,8572.2,8601.6,8631.5,8655.1,8697.9,8586.5,8590.1,8595.1,8597.1,8599.6,7957.4,8027.5,8101.5,8173.1,8255.2,8314.3,8377.1,8434.6,8486.8,8545.4,8602.8,8644.3,8682.7,8664.6,8653.3,8679.1,8705.1,8748.1,8793.6,8819.7,8680.2,8681.5,8684.3,8683.5,8682.9,2436.5,2488.5,2613.8,2693.7,2775.4,2853.2,2962.0,3027.2,3297.3,3372.6,3443.1,3520.8,3590.8,3689.1,3942.8,4077.1,4214.7,4233.8,4302.7,4361.5,4224.9,4252.0,4279.9,4307.3,4357.7,13095.4,13205.0,13245.0,13329.8,13408.8,13443.4,13458.3,13506.0,13342.4,13381.5,13416.2,13426.1,13451.2,13440.4,13257.1,13174.2,13092.0,13145.8,13146.0,13156.1,13041.9,13019.6,12999.7,12973.4,12924.8
"Long An",1250.8,1265.1,1279.9,1294.8,1311.1,1327.1,1343.1,1356.5,1369.0,1382.2,1393.4,1405.2,1417.9,1428.2,1436.3,1442.8,1449.9,1460.3,1469.9,1477.3,1626.2,1645.2,1662.3,1678.9,1695.1,609.1,617.3,625.7,634.4,642.8,650.4,658.2,664.8,671.2,679.6,683.8,690.9,704.6,709.5,713.3,716.5,720.0,725.2,730.0,733.7,809.7,819.5,828.4,837.1,845.5,641.7,647.8,654.2,660.4,668.3,676.7,684.9,691.7,697.8,702.6,709.6,714.3,713.3,718.7,723.0,726.3,729.9,735.1,739.9,743.6,816.5,825.7,833.9,841.9,849.6,179.1,185.1,194.7,208.6,217.5,217.1,221.4,225.2,229.0,233.0,236.6,240.4,244.4,248.0,251.3,254.6,258.1,260.7,265.0,266.3,270.5,271.3,271.8,272.2,272.5,1071.7,1080.0,1085.2,1086.2,1093.6,1110.0,1121.7,1131.3,1140.0,1149.2,1156.8,1164.8,1173.5,1180.2,1185.0,1188.2,1191.9,1199.7,1204.9,1211.0,1355.8,1373.9,1390.5,1406.7,1422.6
"Tiền Giang",1581.5,1587.4,1593.6,1600.0,1608.4,1613.5,1620.1,1626.7,1634.0,1642.7,1650.1,1655.3,1661.6,1668.0,1672.8,1678.0,1682.6,1692.5,1703.4,1716.1,1728.7,1740.1,1751.8,1759.1,1766.3,762.9,766.8,770.7,775.0,779.1,781.2,784.4,787.6,791.7,797.5,799.6,803.6,806.6,814.7,820.7,825.9,829.5,829.8,835.7,841.7,847.9,853.5,859.3,863.0,866.9,818.6,820.6,822.9,825.0,829.3,832.3,835.7,839.1,842.3,845.2,850.5,851.7,855.0,853.3,852.1,852.1,853.1,862.6,867.7,874.4,880.8,886.6,892.5,896.1,899.4,200.9,202.8,208.5,210.4,214.7,211.7,213.7,215.7,217.8,220.2,222.3,224.2,226.3,228.4,229.0,246.6,265.4,249.5,251.3,264.4,242.0,243.6,245.3,246.3,247.3,1380.6,1384.6,1385.1,1389.6,1393.7,1401.8,1406.4,1411.0,1416.2,1422.5,1427.8,1431.1,1435.3,1439.6,1443.8,1431.4,1417.2,1443.0,1452.1,1451.7,1486.7,1496.5,1506.6,1512.8,1519.0
"Bến Tre",1281.8,1286.8,1291.4,1294.7,1299.1,1297.9,1294.9,1289.0,1282.8,1277.6,1273.2,1269.3,1264.8,1259.6,1256.1,1256.6,1257.4,1258.9,1260.6,1262.2,1275.8,1278.6,1282.4,1286.0,1289.1,618.2,621.4,624.2,626.7,628.7,627.9,626.4,623.6,621.9,620.6,617.5,616.6,615.3,615.5,616.3,616.4,616.7,617.1,617.4,618.9,624.9,626.1,627.8,629.4,630.8,663.6,665.4,667.2,668.0,670.4,670.0,668.5,665.4,660.9,657.0,655.7,652.7,649.5,644.1,639.8,640.2,640.7,641.8,643.2,643.3,650.9,652.5,654.6,656.6,658.4,97.2,101.2,106.4,107.5,115.7,110.3,112.0,113.6,115.2,116.8,118.6,120.4,122.2,124.0,125.7,125.9,126.2,126.4,127.2,129.2,126.1,126.1,126.2,126.3,126.4,1184.6,1185.6,1185.0,1187.2,1183.4,1187.6,1182.9,1175.4,1167.6,1160.8,1154.6,1148.9,1142.6,1135.6,1130.4,1130.7,1131.2,1132.5,1133.3,1133.0,1149.7,1152.5,1156.2,1159.7,1162.7
"Trà Vinh",934.9,942.6,950.8,959.2,969.1,972.0,975.3,979.2,982.5,986.3,990.2,993.7,997.2,1000.8,1003.2,1008.0,1013.1,1018.4,1023.9,1029.3,1006.9,1007.6,1008.1,1008.8,1009.3,459.7,465.4,471.3,477.4,483.3,484.6,486.3,488.2,489.9,491.0,491.9,492.9,493.7,495.0,494.1,496.5,499.0,501.4,503.2,504.9,495.9,496.2,496.4,496.7,496.9,475.2,477.2,479.5,481.8,485.8,487.4,489.0,491.0,492.6,495.3,498.3,500.8,503.5,505.8,509.1,511.5,514.1,517.0,520.7,524.4,511.0,511.4,511.7,512.1,512.4,92.8,99.8,109.3,117.5,125.8,126.6,129.4,132.3,135.2,138.2,141.2,144.3,147.5,150.7,153.7,155.2,159.0,165.3,169.4,172.9,166.5,168.4,169.8,172.0,174.1,842.1,842.8,841.5,841.7,843.3,845.4,845.9,846.9,847.3,848.1,849.0,849.4,849.7,850.1,849.5,852.8,854.1,853.1,854.5,856.3,840.3,839.2,838.3,836.8,835.2
"Vĩnh Long",990.4,995.6,1001.0,1006.4,1012.3,1013.4,1014.6,1015.9,1017.4,1018.8,1020.2,1021.6,1022.8,1024.0,1025.1,1026.5,1029.1,1034.5,1037.8,1041.5,1023.2,1022.8,1022.6,1022.7,1022.6,479.9,482.8,485.7,488.7,491.4,491.8,492.4,493.0,493.5,495.3,496.0,496.6,497.2,501.3,504.6,505.5,507.0,509.9,510.4,512.9,503.9,503.8,503.7,503.8,503.8,510.5,512.8,515.3,517.7,520.9,521.6,522.2,522.9,523.9,523.5,524.2,525.0,525.6,522.7,520.5,521.0,522.1,524.6,527.4,528.6,519.3,519.1,518.9,518.9,518.8,133.0,135.3,140.1,142.4,146.3,145.3,146.6,148.1,149.5,150.8,152.3,153.7,155.2,156.5,156.9,158.0,159.3,161.1,174.0,175.2,168.8,169.1,169.4,169.7,169.8,857.4,860.3,860.9,864.0,866.0,868.1,868.0,867.8,867.9,868.0,867.9,867.9,867.6,867.5,868.2,868.5,869.7,873.4,863.8,866.3,854.4,853.8,853.2,853.0,852.8
"Ðồng Tháp",1489.3,1510.4,1532.5,1556.5,1568.2,1580.6,1592.2,1603.5,1614.3,1626.6,1639.5,1646.8,1654.5,1662.5,1666.6,1669.6,1671.7,1675.0,1678.4,1681.3,1625.6,1619.0,1612.5,1606.1,1598.8,726.2,738.0,750.0,763.4,769.5,775.2,780.9,786.5,792.1,793.8,798.8,803.7,807.5,829.5,830.7,832.1,833.0,834.2,834.0,839.8,811.5,808.4,805.3,802.4,798.9,763.1,772.4,782.5,793.1,798.7,805.4,811.3,817.0,822.2,832.8,840.7,843.1,847.0,833.0,835.9,837.6,838.7,840.9,844.4,841.5,814.1,810.6,807.1,803.7,799.9,194.8,201.6,212.4,219.7,229.4,231.0,237.0,243.1,249.3,255.8,262.6,268.7,274.9,281.4,296.0,296.7,297.1,297.6,299.5,301.0,292.7,292.1,291.6,292.3,304.7,1294.5,1308.8,1320.1,1336.8,1338.8,1349.6,1355.2,1360.4,1365.0,1370.8,1376.9,1378.1,1379.6,1381.1,1370.6,1373.0,1374.6,1377.4,1378.9,1380.3,1333.0,1326.9,1320.9,1313.8,1294.1
"An Giang",1970.1,1990.7,2011.1,2032.5,2055.4,2061.7,2073.8,2085.6,2096.3,2107.4,2118.1,2125.8,2134.3,2142.6,2147.6,2148.3,2149.0,2151.2,2153.3,2155.8,2000.9,1976.4,1954.2,1931.0,1907.4,966.7,978.1,989.1,1001.1,1011.5,1014.1,1020.1,1025.9,1031.6,1035.9,1039.4,1045.0,1049.2,1059.6,1066.9,1067.7,1068.6,1069.7,1069.0,1067.4,993.7,981.5,970.4,958.9,947.1,1003.4,1012.6,1022.0,1031.4,1043.9,1047.6,1053.7,1059.7,1064.7,1071.5,1078.7,1080.8,1085.1,1083.0,1080.7,1080.6,1080.4,1081.5,1084.3,1088.4,1007.1,994.9,983.8,972.2,960.3,368.0,370.9,395.1,398.0,405.3,457.5,472.9,488.8,504.9,521.7,538.9,555.8,573.5,591.7,609.7,640.5,643.0,645.3,653.9,652.3,606.6,605.8,605.6,605.0,602.6,1602.1,1619.8,1616.0,1634.5,1650.1,1604.2,1600.9,1596.8,1591.4,1585.7,1579.2,1570.0,1560.8,1550.9,1537.9,1507.8,1506.0,1505.8,1499.4,1503.5,1394.2,1370.6,1348.6,1326.0,1304.8
"Kiên Giang",1392.0,1422.3,1452.9,1480.3,1504.2,1522.7,1540.9,1559.6,1578.9,1599.1,1619.8,1637.8,1654.9,1672.3,1688.5,1698.7,1710.9,1723.8,1734.3,1745.5,1705.4,1708.7,1712.9,1718.1,1723.7,685.8,702.3,718.7,731.7,740.3,750.6,759.6,768.8,777.0,788.5,800.2,807.6,816.0,834.1,852.2,853.6,860.0,866.3,870.1,874.6,863.0,865.0,867.5,870.5,873.7,706.2,720.0,734.2,748.6,763.9,772.1,781.3,790.8,801.9,810.6,819.6,830.2,838.9,838.2,836.3,845.1,850.9,857.5,864.2,870.9,842.4,843.7,845.4,847.6,850.0,284.8,289.2,310.5,326.1,330.0,341.7,352.8,364.4,376.3,388.9,401.9,414.6,427.5,440.7,454.0,460.1,465.6,470.7,476.3,464.9,473.4,476.9,480.6,484.6,488.8,1107.2,1133.1,1142.4,1154.2,1174.2,1181.0,1188.1,1195.2,1202.6,1210.2,1217.9,1223.2,1227.4,1231.6,1234.5,1238.6,1245.2,1253.1,1258.0,1280.6,1232.0,1231.8,1232.3,1233.5,1234.9
"Cần Thơ",1739.7,1758.8,1778.0,1796.4,1816.8,1830.7,1845.7,1859.9,1873.5,1138.1,1149.0,1160.5,1172.0,1180.9,1188.6,1197.9,1208.0,1218.3,1228.5,1238.3,1208.5,1214.6,1222.4,1227.7,1236.0,851.1,861.6,871.9,882.2,892.2,898.6,906.0,913.0,919.7,559.7,565.3,570.7,577.6,583.6,589.7,594.9,600.4,605.8,610.2,614.2,599.4,602.4,606.3,608.9,612.9,888.6,897.2,906.1,914.2,924.6,932.1,939.7,946.9,953.8,578.4,583.7,589.8,594.4,597.3,598.9,603.0,607.6,612.5,618.3,624.1,609.1,612.2,616.1,618.8,623.0,344.0,349.9,362.5,378.0,387.3,399.8,449.8,456.4,667.7,567.3,573.8,584.9,590.6,615.5,783.2,789.8,799.1,808.0,817.7,825.9,824.1,833.0,842.7,850.6,861.3,1395.7,1408.9,1415.5,1418.4,1429.5,1430.9,1395.9,1403.5,1205.8,570.8,575.2,575.6,581.4,565.4,405.4,408.1,408.9,410.3,410.8,412.4,384.4,381.6,379.8,377.1,374.7
"Hậu Giang",..,..,..,..,..,..,..,..,..,749.8,751.5,752.8,754.7,756.3,758.0,759.8,761.7,763.8,766.2,768.4,742.4,740.1,737.3,734.9,732.2,..,..,..,..,..,..,..,..,..,368.9,368.9,371.2,373.6,377.5,381.4,382.6,383.8,385.0,385.7,383.2,371.9,370.5,368.8,367.4,365.7,..,..,..,..,..,..,..,..,..,380.9,382.6,381.6,381.1,378.8,376.6,377.2,377.9,378.8,380.5,385.2,370.5,369.6,368.5,367.5,366.4,..,..,..,..,..,..,..,..,..,114.3,117.2,124.7,127.2,138.4,149.7,161.6,180.4,181.4,183.4,186.0,171.1,175.0,178.9,183.0,197.7,..,..,..,..,..,..,..,..,..,635.5,634.3,628.1,627.5,617.9,608.3,598.2,581.3,582.4,582.8,582.3,571.3,565.0,558.3,551.9,534.4
"Sóc Trăng",1150.1,1155.9,1162.3,1168.8,1177.9,1193.4,1210.3,1224.6,1237.4,1249.8,1258.6,1265.6,1276.3,1285.1,1293.2,1295.6,1298.4,1301.5,1304.7,1307.7,1236.3,1227.6,1218.3,1208.8,1199.5,558.6,562.2,565.8,569.7,574.1,581.4,589.7,596.6,603.1,609.1,613.4,616.9,622.1,631.3,642.7,643.9,645.3,646.5,646.7,654.8,615.6,611.4,606.9,602.4,597.9,591.5,593.7,596.5,599.1,603.8,612.0,620.6,628.0,634.3,640.7,645.2,648.7,654.2,653.8,650.5,651.7,653.1,655.0,658.0,652.9,620.8,616.2,611.4,606.5,601.6,194.7,197.4,203.8,206.5,211.8,214.7,219.7,224.2,228.6,233.0,236.7,240.2,244.4,248.3,250.6,291.1,359.1,359.7,372.4,417.6,375.8,379.3,382.5,385.5,388.5,955.4,958.5,958.5,962.3,966.1,978.7,990.6,1000.4,1008.8,1016.8,1021.9,1025.4,1031.9,1036.8,1042.6,1004.5,939.3,941.8,932.2,890.2,860.5,848.3,835.8,823.3,811.0
"Bạc Liêu",709.5,716.3,724.2,732.1,738.2,749.7,764.2,777.4,789.1,801.3,812.8,823.8,835.8,847.5,856.8,861.0,864.9,869.3,873.6,877.9,887.3,892.8,897.7,903.0,908.2,343.4,346.8,350.7,355.6,361.6,367.1,374.2,380.7,386.5,389.6,398.2,400.6,406.4,413.0,427.3,429.2,430.3,432.2,433.5,441.7,443.4,446.3,449.0,451.7,454.6,366.1,369.5,373.5,376.5,376.6,382.6,390.0,396.7,402.6,411.7,414.6,423.2,429.4,434.5,429.5,431.8,434.6,437.0,440.1,436.2,443.9,446.4,448.8,451.2,453.7,171.3,172.6,177.2,178.4,181.1,184.7,189.6,194.3,198.7,203.3,207.8,212.2,216.8,221.5,225.6,228.6,232.7,237.1,239.3,231.4,241.3,244.1,246.7,249.5,252.3,538.2,543.7,547.0,553.7,557.1,565.0,574.6,583.1,590.4,598.0,605.0,611.6,619.0,626.0,631.2,632.4,632.3,632.2,634.3,646.5,646.0,648.7,651.0,653.5,656.0
