"Địa phương","2011 Diện tích(Km2)","2011 Dân số trung bình (Nghìn người)","2011 Mật độ dân số (Người/km2)","2012 Diện tích(Km2)","2012 Dân số trung bình (Nghìn người)","2012 Mật độ dân số (Người/km2)","2013 Diện tích(Km2)","2013 Dân số trung bình (Nghìn người)","2013 Mật độ dân số (Người/km2)","2014 Diện tích(Km2)","2014 Dân số trung bình (Nghìn người)","2014 Mật độ dân số (Người/km2)","2015 Diện tích(Km2)","2015 Dân số trung bình (Nghìn người)","2015 Mật độ dân số (Người/km2)","2016 Diện tích(Km2)","2016 Dân số trung bình (Nghìn người)","2016 Mật độ dân số (Người/km2)","2017 Diện tích(Km2)","2017 Dân số trung bình (Nghìn người)","2017 Mật độ dân số (Người/km2)","2018 Diện tích(Km2)","2018 Dân số trung bình (Nghìn người)","2018 Mật độ dân số (Người/km2)","2019 (*) Diện tích(Km2)","2019 (*) Dân số trung bình (Nghìn người)","2019 (*) Mật độ dân số (Người/km2)"
"Hà Nam",860.5,786.9,914.5,860.5,792.2,920.6,860.5,796.0,925.0,862.0,799.4,927.0,862.0,802.7,931.0,862.0,803.7,932.0,861.9,805.7,935.0,861.9,808.2,938.0,861.9,854.5,991.0
"Nam Định",1651.4,1833.5,1110.3,1652.6,1835.1,1110.4,1652.8,1839.9,1113.2,1653.2,1845.6,1116.0,1653.2,1850.6,1119.0,1668.5,1852.6,1110.0,1668.5,1853.3,1111.0,1668.5,1854.4,1111.0,1668.6,1780.9,1067.0
"Ninh Bình",1390.3,907.7,652.9,1376.7,919.1,667.6,1378.1,927.2,672.8,1377.6,935.8,679.0,1377.6,944.4,686.0,1386.8,953.1,687.0,1386.8,961.9,694.0,1386.8,973.3,702.0,1386.8,984.5,710.0
"Trung du và miền núi phía Bắc",95264.4,11300.8,118.6,95272.3,11417.5,119.8,95274.7,11536.4,121.1,95266.8,11667.5,122.0,95266.8,11803.7,124.0,95222.3,11984.3,126.0,95222.1,12148.9,128.0,95222.2,12292.7,129.0,95221.9,12569.3,132.0
"Hà Giang",7914.9,746.6,94.3,7914.9,761.6,96.2,7914.9,775.8,98.0,7914.9,788.8,100.0,7914.9,802.0,101.0,7929.2,816.1,103.0,7929.5,833.5,105.0,7929.5,846.5,107.0,7929.5,858.1,108.0
"Cao Bằng",6707.9,514.0,76.6,6707.9,515.2,76.8,6707.9,517.9,77.2,6703.4,520.2,78.0,6703.4,522.4,78.0,6700.2,529.8,79.0,6700.3,535.4,80.0,6700.3,540.4,81.0,6700.3,530.9,79.0
"Bắc Kạn",4859.4,300.4,61.8,4859.4,303.0,62.4,4859.4,305.2,62.8,4859.4,307.3,63.0,4859.4,313.1,64.0,4860.0,319.0,66.0,4860.0,323.2,67.0,4860.0,327.9,67.0,4860.0,314.4,65.0
"Tuyên Quang",5867.3,734.9,125.3,5867.3,740.8,126.3,5867.3,747.2,127.3,5867.3,753.8,128.0,5867.3,760.3,130.0,5867.9,766.9,131.0,5867.9,773.5,132.0,5867.9,780.1,133.0,5867.9,786.3,134.0
"Lào Cai",6383.9,637.0,99.8,6383.9,646.5,101.3,6383.9,655.9,102.7,6383.9,665.2,104.0,6383.9,674.5,106.0,6364.0,684.3,108.0,6364.0,694.4,109.0,6364.0,705.6,111.0,6364.0,733.3,115.0
"Yên Bái",6886.3,758.6,110.2,6886.3,765.7,111.2,6886.3,774.6,112.5,6886.3,783.5,114.0,6886.3,792.7,115.0,6887.6,800.1,116.0,6887.7,807.3,117.0,6887.7,815.6,118.0,6887.5,823.0,119.0
"Thái Nguyên",3531.7,1139.4,322.6,3534.7,1149.1,325.1,3536.4,1156.0,326.9,3533.2,1173.2,332.0,3533.2,1190.6,337.0,3526.7,1227.4,348.0,3526.6,1255.1,356.0,3526.6,1268.3,360.0,3526.6,1290.9,366.0
"Lạng Sơn",8320.8,740.8,89.0,8320.8,745.3,89.6,8320.8,749.7,90.1,8320.8,753.7,91.0,8320.8,757.9,91.0,8310.2,768.7,92.0,8310.1,778.4,94.0,8310.1,790.5,95.0,8310.1,782.8,94.0
"Bắc Giang",3844.0,1581.8,411.5,3848.9,1592.9,413.9,3849.7,1608.0,417.7,3849.5,1624.5,422.0,3849.5,1640.9,426.0,3895.5,1657.6,426.0,3895.5,1674.4,430.0,3895.6,1691.8,434.0,3895.6,1810.4,465.0
"Phú Thọ",3533.4,1329.3,376.2,3533.4,1340.8,379.5,3533.3,1351.2,382.4,3533.3,1360.2,385.0,3533.3,1369.7,388.0,3534.4,1381.7,391.0,3534.6,1392.9,394.0,3534.6,1404.2,397.0,3534.6,1466.4,415.0
"Điện Biên",9562.9,510.8,53.4,9562.9,519.7,54.3,9562.9,528.5,55.3,9562.9,538.1,56.0,9562.9,547.8,57.0,9540.9,557.4,58.0,9541.3,567.0,59.0,9541.2,576.7,60.0,9541.3,601.7,63.0
"Lai Châu",9068.8,389.4,42.9,9068.8,397.3,43.8,9068.8,405.7,44.7,9068.8,415.3,46.0,9068.8,425.1,47.0,9069.5,436.0,48.0,9068.8,446.1,49.0,9068.8,456.3,50.0,9068.8,462.6,51.0
"Sơn La",14174.4,1118.6,78.9,14174.4,1134.4,80.0,14174.4,1150.5,81.2,14174.4,1166.4,82.0,14174.4,1182.4,83.0,14123.5,1208.0,86.0,14123.5,1228.9,87.0,14123.5,1242.7,88.0,14123.5,1252.7,89.0
"Hoà Bình",4608.7,799.0,173.4,4608.7,805.2,174.7,4608.7,810.3,175.8,4608.7,817.4,177.0,4608.7,824.3,179.0,4590.7,831.3,181.0,4590.6,838.8,183.0,4590.6,846.1,184.0,4590.6,855.8,186.0
"Bắc Trung Bộ và Duyên hải miền Trung",95838.0,19104.9,199.3,95835.8,19243.3,200.8,95834.5,19387.5,202.3,95832.4,19522.5,204.0,95832.4,19658.0,205.0,95871.3,19798.8,207.0,95871.9,19924.5,208.0,95876.0,20056.9,209.0,95875.8,20220.4,211.0
"Thanh Hoá",11131.9,3437.7,308.8,11132.2,3457.9,310.6,11130.5,3477.7,312.4,11129.5,3496.1,314.0,11129.5,3514.2,316.0,11114.5,3528.3,317.0,11114.7,3544.4,319.0,11114.6,3558.2,320.0,11114.6,3645.8,328.0
"Nghệ An",16493.7,2955.9,179.2,16490.9,2983.3,180.9,16492.7,3011.3,182.6,16490.0,3037.4,184.0,16490.0,3063.9,186.0,16481.7,3105.5,188.0,16481.6,3131.3,190.0,16481.6,3157.1,192.0,16481.4,3337.2,202.0
"Hà Tĩnh",5997.2,1237.8,206.4,5997.8,1243.2,207.3,5997.3,1249.1,208.3,5997.8,1255.3,209.0,5997.8,1261.3,210.0,5990.6,1266.7,211.0,5990.7,1272.2,212.0,5990.7,1277.5,213.0,5990.7,1290.3,215.0
"Quảng Bình",8065.3,853.4,105.8,8065.3,858.3,106.4,8065.3,863.4,107.1,8065.3,868.2,108.0,8065.3,872.9,108.0,8000.1,877.7,110.0,8000.0,882.5,110.0,8000.0,887.6,111.0,8000.0,896.6,112.0
"Quảng Trị",4739.8,604.7,127.6,4739.8,608.2,128.3,4739.8,613.0,129.3,4739.8,616.4,130.0,4739.8,619.9,131.0,4621.8,623.5,135.0,4621.7,627.3,136.0,4621.7,630.6,136.0,4621.7,633.4,137.0
"Thừa Thiên Huế",5033.2,1103.1,219.2,5033.2,1113.9,221.3,5033.2,1122.7,223.1,5033.2,1131.8,225.0,5033.2,1140.7,227.0,4902.4,1149.8,235.0,4902.5,1154.3,235.0,4902.4,1163.6,237.0,4902.4,1129.5,230.0
"Đà Nẵng",1285.4,946.0,736.0,1285.4,966.3,751.8,1285.4,986.8,767.7,1285.4,1007.7,784.0,1285.4,1028.8,800.0,1284.7,1046.2,814.0,1284.9,1064.1,828.0,1284.9,1080.7,841.0,1284.9,1141.1,888.0
"Quảng Nam",10438.4,1442.7,138.2,10438.4,1452.9,139.2,10438.4,1463.2,140.2,10438.4,1471.8,141.0,10438.4,1480.3,142.0,10575.0,1487.7,141.0,10574.7,1493.8,141.0,10574.7,1501.1,142.0,10574.7,1497.5,142.0
